"dataset","measure","n_control","n_sepsis","median_control","median_sepsis","p_value","fdr"
"GSE205672","S100A8",15,36,11.3917483906544,12.5076760099382,1.48514955581182e-05,2.97029911162364e-05
"GSE205672","independent_state_score",15,36,-0.499933941727724,0.185048060635296,7.62017774964775e-06,2.97029911162364e-05
"GSE205672","antigen_presentation_score",15,36,0.482325632035633,-0.146586772705674,0.00419471634231628,0.00559295512308838
"GSE205672","NFkB_score",15,36,-0.0494947120723833,-0.0716517415588129,0.925882865297794,0.925882865297794
