"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.124646126391377,3.48535364969888,0.499389841517254,5880.28109990074,5926.96689894302,6475.98224898749
2,0.367106728156646,-4.09547330263067,0.763719869269783,3209.4756921903,3204.06906139105,4051.68222229582
3,0.37914363839327,-3.00967231815559,0.849940624045631,1856.37048367068,1809.91015358097,2716.40020132176
4,0.356062632521504,-2.07490438681224,0.895768250610241,1128.68618850126,1078.05569553792,1899.86232328689
5,0.415573053798272,-1.77183006289255,0.931439199533882,716.176274764361,677.147082784575,1379.9181750721
6,0.493642529889682,-1.73657862556095,0.944972046034816,471.283831247732,439.689900509503,1043.82607359832
7,0.552035295259218,-1.71113228920273,0.94626085813615,319.926355617553,293.720994734836,806.814178450905
8,0.594856872681106,-1.6963776098369,0.943563475701397,223.043069340836,200.324475633068,634.507989553178
9,0.613111728230802,-1.71089422080555,0.933198595484314,159.10930705407,138.426259968327,506.180488653556
10,0.649932279756022,-1.68487333392932,0.942733146718408,115.783810139392,97.2454594815216,408.70289591134
11,0.688306301087074,-1.67028197779614,0.951214372171171,85.7344503779089,69.3031694133945,333.428153031778
12,0.722563727885797,-1.67483139316604,0.958185280792795,64.4641457804734,50.0379101095561,274.47754899175
13,0.750155853354367,-1.66044513987376,0.965519410429365,49.1349546040748,36.4155236030623,227.747838645594
14,0.768601273626059,-1.66988504758563,0.966988427206338,37.9097323004838,26.8015069606958,190.310554490715
15,0.789600317625712,-1.69013203826013,0.970296594441336,29.5717567629666,19.995797440627,161.354034012316
16,0.776148445724145,-1.78698975438572,0.961180179758789,23.2985490366037,15.0674934592319,140.089614370375
17,0.776577480002884,-1.84676998679834,0.959321727537616,18.5238106018305,11.3650226128329,122.255264541106
18,0.780389956000892,-1.90829294185458,0.960470560682416,14.8511102852003,8.64971195255383,107.183507041105
19,0.776516114154262,-1.9651564191999,0.958208333792387,11.9987353299738,6.591477709551,94.3598244681734
20,0.776969123066287,-2.01156885000417,0.957881539022119,9.7637473992435,5.06584916350753,83.3824215170883
