"sample_id","group","PC1","PC2","sample_connectivity","connectivity_z","excluded"
"GSM1602801","Sepsis",-2.2815818249369,12.9609781979543,772.556046152818,0.822670515246831,FALSE
"GSM1602802","Sepsis",-23.6448911240056,13.1707017257826,769.408362961112,0.468931217339222,FALSE
"GSM1602803","Sepsis",-21.5780972420636,8.97578207230945,768.881290986562,0.409698423290767,FALSE
"GSM1602804","Sepsis",5.04363271769334,34.3639663987348,765.902319223716,0.0749190583747959,FALSE
"GSM1602805","Sepsis",-29.784997484414,15.6865640965824,765.319660754477,0.00943940706432288,FALSE
"GSM1602806","Sepsis",-22.0318490406006,14.9631254741771,765.0337299217,-0.0226937416283185,FALSE
"GSM1602807","Normal",22.4246733225224,33.1474156820617,759.831124993767,-0.607366881335516,FALSE
"GSM1602808","Sepsis",9.42630287446487,21.6093984183342,766.385213106086,0.129187081079085,FALSE
"GSM1602809","Normal",10.6154404249667,53.737799468631,746.904807247871,-2.06003739659355,FALSE
"GSM1602810","Sepsis",-0.29415095320234,29.1586748173416,765.427092724085,0.0215127026241014,FALSE
"GSM1602811","Sepsis",-35.5441079942419,-10.839935299717,756.81754737324,-0.946035281790924,FALSE
"GSM1602812","Sepsis",-12.4517524090776,-5.42754157978248,773.095319977624,0.883274563541696,FALSE
"GSM1602813","Sepsis",20.7941359213147,-24.8865512854475,749.20501652915,-1.80153793313284,FALSE
"GSM1602814","Sepsis",-3.32616557222484,7.78558812816476,771.913998607651,0.750516669380424,FALSE
"GSM1602815","Sepsis",-23.5603910562348,6.46295036729893,765.323793769196,0.00990387875226643,FALSE
"GSM1602816","Sepsis",17.9364715476339,-4.19144106451432,770.18746927919,0.556487843964996,FALSE
"GSM1602817","Sepsis",9.67794755835199,-4.11415926216022,763.352493234932,-0.211632541683318,FALSE
"GSM1602818","Sepsis",18.2401807518934,-32.8671539420295,754.08520598021,-1.25309811726347,FALSE
"GSM1602819","Sepsis",-24.9829224796705,-16.072028789352,767.946294267582,0.304622701633158,FALSE
"GSM1602820","Sepsis",14.2569832668545,-4.87057785135213,774.048411039881,0.990383742792382,FALSE
"GSM1602821","Sepsis",-19.4469578795069,-17.6505234243661,766.486743682128,0.140597173041358,FALSE
"GSM1602822","Sepsis",8.12127520068076,29.171085175824,757.061313370566,-0.91864065294924,FALSE
"GSM1602823","Sepsis",21.0832343866443,-27.3425347611027,756.358094450587,-0.99766898962697,FALSE
"GSM1602824","Sepsis",10.2040730937718,1.63728506177516,757.479667173759,-0.871625698900423,FALSE
"GSM1602825","Sepsis",-8.50809867704766,16.3379531641406,769.862384573339,0.519954549918352,FALSE
"GSM1602826","Sepsis",-10.5228520574426,-19.6219319750231,763.802360962298,-0.161076026196225,FALSE
"GSM1602827","Sepsis",2.41119842823968,3.23170734223991,771.254195440012,0.676367431651319,FALSE
"GSM1602828","Sepsis",19.9650172593109,10.7468836859393,757.734525766825,-0.842984474772545,FALSE
"GSM1602829","Sepsis",-40.2877294102031,1.61611382693071,764.218764326095,-0.114280264175447,FALSE
"GSM1602830","Sepsis",-29.7308917101483,7.36399840673109,768.714617706101,0.390967539138989,FALSE
"GSM1602831","Sepsis",-30.554793453495,-2.65344852658257,770.373589300766,0.577404169322078,FALSE
"GSM1602832","Sepsis",5.143981137349,16.1367052710701,771.132148593494,0.662651703869977,FALSE
"GSM1602833","Sepsis",41.8557038328848,-28.8421455955315,737.15317586966,-3.15593397420098,FALSE
"GSM1602834","Sepsis",2.26474084031751,-27.5818603358068,767.188226547261,0.219430410407896,FALSE
"GSM1602835","Sepsis",5.78732549287909,17.6215867807931,766.963053277107,0.194125247962717,FALSE
"GSM1602836","Sepsis",-15.6879730027559,30.2155941587215,765.361315919993,0.0141206497772987,FALSE
"GSM1602837","Sepsis",-23.8508354151125,8.4554038374815,772.346002624991,0.7990656460341,FALSE
"GSM1602838","Sepsis",-0.327199077112468,10.5835295244018,771.225036207877,0.6730904924948,FALSE
"GSM1602839","Sepsis",-24.7652365308661,-7.57410581986783,767.171998499145,0.217606688642553,FALSE
"GSM1602840","Sepsis",-26.1652696616318,11.1118715873467,761.334381658418,-0.438429626617455,FALSE
"GSM1602841","Sepsis",-14.4729980179242,10.7035572306399,773.438341940067,0.921823661647029,FALSE
"GSM1602842","Sepsis",-35.1738951822172,12.096318425782,764.177096654144,-0.118962912372075,FALSE
"GSM1602843","Sepsis",13.0543619956664,0.986166760354006,765.147198731813,-0.00994202082957176,FALSE
"GSM1602844","Sepsis",-48.1404113370663,-16.4329132068178,753.75915107513,-1.28974044311963,FALSE
"GSM1602845","Sepsis",2.50455348230714,-28.4598459484354,765.218368029611,-0.00194395498165997,FALSE
"GSM1602846","Sepsis",8.85533456896422,24.7146946150959,765.99449870381,0.0852782662696572,FALSE
"GSM1602847","Sepsis",6.33772134554787,1.4000772070217,773.183640624937,0.893200112546622,FALSE
"GSM1602848","Sepsis",4.79060136958331,-6.15661370854351,769.61345905885,0.491980090176463,FALSE
"GSM1602849","Sepsis",-7.84630334276202,14.3142533619153,768.896175813798,0.411371192758088,FALSE
"GSM1602850","Sepsis",-15.9126795977015,-5.951291184301,772.347792679015,0.799266813818475,FALSE
"GSM1602851","Sepsis",26.8445777149142,-10.7672300848101,751.708232960589,-1.52022435452952,FALSE
"GSM1602852","Sepsis",10.8888842451325,-2.04245903466566,759.384143194769,-0.657599073752909,FALSE
"GSM1602853","Sepsis",-3.35958257247484,-1.53245975530116,775.900063058692,1.19847396191911,FALSE
"GSM1602854","Sepsis",-6.63197034869628,2.44836036676866,758.048278905636,-0.807724631808753,FALSE
"GSM1602855","Sepsis",-39.111555952303,-1.14917515323951,751.373706653387,-1.55781870371724,FALSE
"GSM1602856","Sepsis",25.6577834149858,-10.0451265504706,762.321953677821,-0.32744544825507,FALSE
"GSM1602857","Sepsis",32.2879535455045,-22.2543714162029,749.673376177977,-1.74890327988025,FALSE
