"module","eigengene","module_size","correlation_sepsis","p_value","FDR","direction"
"blue","MEblue",2266,-0.569177762406207,4.80829846462106e-70,3.84663877169685e-69,"Normal-enriched"
"red","MEred",757,0.405231643169198,4.76598229547568e-33,1.90639291819027e-32,"Sepsis-enriched"
"yellow","MEyellow",1484,-0.365486642972819,9.44568983241729e-27,2.51885062197794e-26,"Normal-enriched"
"grey","MEgrey",1458,0.244350745541084,2.28732503777156e-12,4.57465007554313e-12,"Sepsis-enriched"
"black","MEblack",665,0.242084330496622,3.68789381921179e-12,5.90063011073887e-12,"Sepsis-enriched"
"green","MEgreen",783,-0.209003397283789,2.2899297469136e-09,3.05323966255147e-09,"Normal-enriched"
"turquoise","MEturquoise",2509,0.12202508441826,0.000533668312019501,0.000609906642308001,"Sepsis-enriched"
"brown","MEbrown",1596,0.0488775235775273,0.166707870386956,0.166707870386956,"Sepsis-enriched"
