system,time_ns,median,minimum,maximum,rep1,rep2,rep3
complex,20.0,1.7829090909090908,1.779,1.863727272727273,1.7829090909090908,1.863727272727273,1.779
complex,20.01,1.7834166666666667,1.7785833333333334,1.862,1.7834166666666667,1.862,1.7785833333333334
complex,20.02,1.7828461538461537,1.7812307692307692,1.860923076923077,1.7828461538461537,1.860923076923077,1.7812307692307692
complex,20.03,1.7832857142857144,1.781642857142857,1.8611428571428572,1.7832857142857144,1.8611428571428572,1.781642857142857
complex,20.04,1.7827333333333333,1.7818666666666665,1.8596666666666666,1.7827333333333333,1.8596666666666666,1.7818666666666665
complex,20.05,1.7818125,1.7805625,1.8601875,1.7818125,1.8601875,1.7805625
complex,20.06,1.7818823529411763,1.7786470588235292,1.8605882352941177,1.7818823529411763,1.8605882352941177,1.7786470588235292
complex,20.07,1.7798888888888886,1.7784444444444445,1.8613333333333333,1.7798888888888886,1.8613333333333333,1.7784444444444445
complex,20.08,1.7788947368421053,1.778315789473684,1.8606315789473686,1.778315789473684,1.8606315789473686,1.7788947368421053
complex,20.09,1.7799,1.7775500000000002,1.8611499999999999,1.7775500000000002,1.8611499999999999,1.7799
complex,20.1,1.7793809523809523,1.7773809523809525,1.8623809523809522,1.7773809523809525,1.8623809523809522,1.7793809523809523
complex,20.11,1.7778571428571428,1.7778571428571428,1.8633809523809524,1.7778571428571428,1.8633809523809524,1.7778571428571428
complex,20.12,1.7777619047619047,1.776333333333333,1.8643333333333332,1.7777619047619047,1.8643333333333332,1.776333333333333
complex,20.13,1.7795238095238097,1.778,1.8636666666666666,1.7795238095238097,1.8636666666666666,1.778
complex,20.14,1.782714285714286,1.7796190476190477,1.8630476190476188,1.782714285714286,1.8630476190476188,1.7796190476190477
complex,20.15,1.7850952380952383,1.7806666666666668,1.860666666666667,1.7850952380952383,1.860666666666667,1.7806666666666668
complex,20.16,1.7850476190476192,1.7821428571428573,1.8582857142857143,1.7850476190476192,1.8582857142857143,1.7821428571428573
complex,20.17,1.7862857142857143,1.7825714285714285,1.857190476190476,1.7862857142857143,1.857190476190476,1.7825714285714285
complex,20.18,1.7875714285714284,1.7820952380952382,1.8555238095238096,1.7875714285714284,1.8555238095238096,1.7820952380952382
complex,20.19,1.7885714285714287,1.7844761904761903,1.8554285714285714,1.7885714285714287,1.8554285714285714,1.7844761904761903
complex,20.2,1.788047619047619,1.7865238095238096,1.8559999999999999,1.788047619047619,1.8559999999999999,1.7865238095238096
complex,20.21,1.7899047619047617,1.7881428571428568,1.856571428571429,1.7899047619047617,1.856571428571429,1.7881428571428568
complex,20.22,1.7890952380952383,1.788809523809524,1.8560952380952382,1.7890952380952383,1.8560952380952382,1.788809523809524
