compound,receptor,scoring,n,mean_score,sd_score,min_score,max_score,median_rmsd_A,max_rmsd_A
16-hydroxytriptolide,AC,vina,10,-7.0854,0.021479706184624206,-7.106,-7.048,0.047737130612744025,0.0873384222435919
16-hydroxytriptolide,AC,vinardo,10,-4.8539,0.020272860895514794,-4.87,-4.8,0.024754906153667544,0.10386690201085905
16-hydroxytriptolide,BD,vina,10,-7.5767,0.012754519896012388,-7.592,-7.552,0.03652451784420112,0.054239523651355794
16-hydroxytriptolide,BD,vinardo,10,-5.2964,0.011117553687749733,-5.309,-5.28,0.03852392286307042,0.09429033177726405
triptolide,AC,vina,10,-7.2355,0.0036285901761794674,-7.241,-7.23,0.007777928983893774,0.03155763957244941
triptolide,AC,vinardo,10,-5.2653,0.0023593784492249017,-5.271,-5.262,0.006197839815914456,0.00754728682783045
triptolide,BD,vina,10,-7.788500000000001,0.003922867431979709,-7.795,-7.781,0.024983951973068713,0.07163905252132999
triptolide,BD,vinardo,10,-5.2595,0.002635231383473919,-5.264,-5.256,0.005005646680837212,0.01097199231610316
