receptor,scoring,n,mean_score,sd_score,min_score,max_score,median_rmsd,max_rmsd
AC,vina,10,-7.2355,0.0036285901761794674,-7.241,-7.23,0.007777928983893774,0.03155763957244941
AC,vinardo,10,-5.2653,0.0023593784492249017,-5.271,-5.262,0.006197839815914456,0.00754728682783045
BD,vina,10,-7.788500000000001,0.003922867431979709,-7.795,-7.781,0.024983951973068713,0.07163905252132999
BD,vinardo,10,-5.2595,0.002635231383473919,-5.264,-5.256,0.005005646680837212,0.01097199231610316
