receptor,scoring,seed,best_score_kcal_mol,n_modes,returncode,pose_file,rmsd_to_condition_reference_A,compound
AC,vinardo,1007985,-4.842,19,0,AC_vinardo_seed1007985.pdbqt,0.028942471675146648,16-hydroxytriptolide
BD,vina,107985,-7.572,20,0,BD_vina_seed107985.pdbqt,0.0,16-hydroxytriptolide
BD,vina,207985,-7.583,20,0,BD_vina_seed207985.pdbqt,0.03746553972208036,16-hydroxytriptolide
BD,vina,307985,-7.585,20,0,BD_vina_seed307985.pdbqt,0.029449265852636936,16-hydroxytriptolide
BD,vina,407985,-7.577,20,0,BD_vina_seed407985.pdbqt,0.04641758925873557,16-hydroxytriptolide
BD,vina,507985,-7.592,20,0,BD_vina_seed507985.pdbqt,0.03558349596632188,16-hydroxytriptolide
BD,vina,607985,-7.588,20,0,BD_vina_seed607985.pdbqt,0.054239523651355794,16-hydroxytriptolide
BD,vina,707985,-7.585,20,0,BD_vina_seed707985.pdbqt,0.05411715686052667,16-hydroxytriptolide
BD,vina,807985,-7.56,20,0,BD_vina_seed807985.pdbqt,0.025300417212194174,16-hydroxytriptolide
BD,vina,907985,-7.573,20,0,BD_vina_seed907985.pdbqt,0.023469444280059207,16-hydroxytriptolide
BD,vina,1007985,-7.552,20,0,BD_vina_seed1007985.pdbqt,0.053450565600029795,16-hydroxytriptolide
BD,vinardo,107985,-5.307,20,0,BD_vinardo_seed107985.pdbqt,0.0,16-hydroxytriptolide
BD,vinardo,207985,-5.283,20,0,BD_vinardo_seed207985.pdbqt,0.09429033177726405,16-hydroxytriptolide
BD,vinardo,307985,-5.305,20,0,BD_vinardo_seed307985.pdbqt,0.02957038057596502,16-hydroxytriptolide
BD,vinardo,407985,-5.3,20,0,BD_vinardo_seed407985.pdbqt,0.03770745087979163,16-hydroxytriptolide
BD,vinardo,507985,-5.285,20,0,BD_vinardo_seed507985.pdbqt,0.09214019109386833,16-hydroxytriptolide
BD,vinardo,607985,-5.308,20,0,BD_vinardo_seed607985.pdbqt,0.033980386499664776,16-hydroxytriptolide
BD,vinardo,707985,-5.29,20,0,BD_vinardo_seed707985.pdbqt,0.0563684965863684,16-hydroxytriptolide
BD,vinardo,807985,-5.297,20,0,BD_vinardo_seed807985.pdbqt,0.03934039484634921,16-hydroxytriptolide
BD,vinardo,907985,-5.28,20,0,BD_vinardo_seed907985.pdbqt,0.07801448108690653,16-hydroxytriptolide
BD,vinardo,1007985,-5.309,20,0,BD_vinardo_seed1007985.pdbqt,0.024925815860193053,16-hydroxytriptolide
