"iteration","seed","AUC","mean_difference","standardized_mean_difference"
1,20280719,0.998872180451128,1.76266242848371,6.03039574218885
2,20280720,0.999028822055138,1.90229327143734,5.95096591680434
3,20280721,0.996898496240602,1.82435576289098,5.44151816055865
4,20280722,0.998621553884712,1.96513424904135,5.92536789728791
5,20280723,0.998464912280702,1.86118437521992,5.77304729764489
6,20280724,0.998558897243108,1.88494942064348,5.63197108048861
7,20280725,0.997431077694236,1.9340753495188,5.87175614485038
8,20280726,0.997713032581454,1.91559112959649,5.63961013672658
9,20280727,0.998840852130326,1.96548092947995,6.11332307701135
10,20280728,0.999342105263158,1.93534404543797,6.59165103045581
11,20280729,0.998966165413534,1.83079930492794,5.90905132492749
12,20280730,0.999436090225564,1.91835149387531,6.32043688374395
13,20280731,0.99953007518797,2.13943572375313,7.18169102794944
14,20280732,0.999248120300752,1.92349181970551,5.97997104170291
15,20280733,0.997462406015038,1.66783240875439,5.23448082616409
16,20280734,0.99937343358396,1.94133415376191,6.04774816511523
17,20280735,0.999342105263158,2.06448328744612,6.4613664117392
18,20280736,0.997462406015038,1.89269658284962,5.74440639302143
19,20280737,0.998684210526316,1.89288955927381,5.90845181688154
20,20280738,0.999279448621554,1.94797471271804,6.2715238327463
21,20280739,0.997211779448622,1.86750296825689,5.55304148325384
22,20280740,0.997932330827068,1.79607781495865,5.57288079212612
23,20280741,0.99827694235589,1.83117446693985,5.71606290147482
24,20280742,0.998809523809524,1.88143553520113,6.09592919460459
25,20280743,0.998715538847118,1.88700193787657,5.89944870488618
26,20280744,0.999185463659148,1.86163497619674,6.20804237639173
27,20280745,0.998840852130326,1.85640781498684,5.75697608643702
28,20280746,0.998464912280702,1.82518378313659,5.73355262199168
29,20280747,0.997055137844612,1.80176619015288,5.33360581629018
30,20280748,0.9984335839599,1.7879301385495,5.53865494126265
31,20280749,0.999404761904762,2.09138503087531,6.48489202364441
32,20280750,0.9984335839599,1.77848644108208,5.67081874431801
33,20280751,0.996115288220551,1.71325793080451,5.01326834453992
34,20280752,0.998809523809524,1.85198592987281,5.86862137049502
35,20280753,0.997243107769424,1.81456347275877,5.61957022486041
36,20280754,0.99859022556391,1.89459692726128,5.93851048515924
37,20280755,0.998558897243108,1.90110041850689,6.02677612265581
38,20280756,0.997901002506266,1.73770622385589,5.56044115123227
39,20280757,0.998778195488722,1.89992892459022,6.0952898104374
40,20280758,0.998151629072682,1.81427715365476,5.56294501973146
41,20280759,0.998339598997494,1.91108465437907,5.66271974809423
42,20280760,0.999342105263158,1.96301420002444,6.28832352150205
43,20280761,0.996553884711779,1.80235382513847,5.50664499433357
44,20280762,0.998402255639098,1.85526047640163,5.75762704804778
45,20280763,0.997994987468672,1.90503499910088,5.89539577436143
46,20280764,0.998652882205514,1.92515080168484,6.19991971067523
47,20280765,0.996710526315789,1.8338318211084,5.48973588473906
48,20280766,0.998684210526316,1.94359364478383,5.9072174209944
49,20280767,0.999279448621554,1.9487268619599,6.3423241228074
50,20280768,0.997744360902256,1.9732364815188,5.97073182203048
