"dataset","n","spearman_rho","p_value","partial_rho_group","partial_rho_group_monocyte"
"GSE65682",802,0.751860005769946,7.11497283374829e-147,0.709271711180897,0.70982483962546
"GSE26440",130,0.493899957667044,2.35366574065246e-09,0.161945143456106,0.155598628566426
"GSE28750",41,0.444773519163763,0.00357268348068771,0.0315773279849775,0.0684550146796524
"GSE69528",138,0.810793912063371,1.95216965403221e-33,0.465750157217273,0.404912079753117
"GSE9692",45,0.471541501976285,0.00107640924841267,0.0913459560835859,-0.0666266788817383
"GSE134347",298,0.867538485571751,8.79698488528012e-92,0.633966553150356,0.63366895321969
"GSE131411",29,0.913793103448276,4.50687729565329e-12,0.81872756212205,0.827066384640185
