"module","eigengene","module_size","correlation_sepsis","p_value","FDR","direction"
"turquoise","MEturquoise",1856,-0.537406978111278,3.2643948951219e-61,2.93795540560971e-60,"Normal-enriched"
"blue","MEblue",1624,-0.443501620656421,5.6708981739094e-40,2.55190417825923e-39,"Normal-enriched"
"black","MEblack",713,0.408661632812892,1.23974584863154e-33,3.71923754589461e-33,"Sepsis-enriched"
"red","MEred",744,0.24115339979059,4.48105740931877e-12,1.00823791709672e-11,"Sepsis-enriched"
"green","MEgreen",838,-0.214694646390469,8.13101801970402e-10,1.46358324354672e-09,"Normal-enriched"
"pink","MEpink",620,0.127908219985103,0.000281683527150476,0.000422525290725714,"Sepsis-enriched"
"brown","MEbrown",1538,0.122606660660004,0.000501613191964476,0.000644931246811469,"Sepsis-enriched"
"grey","MEgrey",2377,0.0755591304807651,0.0323930644352989,0.0364421974897112,"Sepsis-enriched"
"yellow","MEyellow",1409,0.00923757345195804,0.793936759334473,0.793936759334473,"Sepsis-enriched"
