"sample_id","group","PC1","PC2","sample_connectivity","connectivity_z","excluded"
"GSM1602801","Sepsis",-2.48881888305126,13.6818107253235,776.156833413722,0.827720114455173,FALSE
"GSM1602802","Sepsis",-24.720736253306,10.0847395254041,773.556280322279,0.495629726667739,FALSE
"GSM1602803","Sepsis",-24.1431136658351,6.62671368248182,772.95901764614,0.419359338501985,FALSE
"GSM1602804","Sepsis",1.34756257652682,35.0460600242994,770.272429373931,0.0762822661366314,FALSE
"GSM1602805","Sepsis",-30.7474660337486,13.3859899427276,770.218827156476,0.0694372679554551,FALSE
"GSM1602806","Sepsis",-21.3274023909839,12.9940788504996,770.577478069503,0.115236956175389,FALSE
"GSM1602807","Normal",19.3797442359244,36.933326683695,765.214797756837,-0.569576820737402,FALSE
"GSM1602808","Sepsis",3.73221385179195,23.4268689553859,770.598304632835,0.117896506374861,FALSE
"GSM1602809","Normal",3.06836260180752,53.7485550595004,754.565740051839,-1.92946049873653,FALSE
"GSM1602810","Sepsis",-6.66490014002614,30.1643989860578,769.99348493068,0.0406610866901268,FALSE
"GSM1602811","Sepsis",-30.3797543545376,-11.9513724138193,763.590461763849,-0.777004375892239,FALSE
"GSM1602812","Sepsis",-12.2458826991668,-7.03363589803111,776.476300728036,0.868516060765594,FALSE
"GSM1602813","Sepsis",20.3561223491495,-25.8885611869778,754.607250455005,-1.92415962411486,FALSE
"GSM1602814","Sepsis",-2.73351400389606,9.15081536663057,775.478237128016,0.741063431916013,FALSE
"GSM1602815","Sepsis",-23.6294586942387,2.37473885470798,769.943777083269,0.0343133992011431,FALSE
"GSM1602816","Sepsis",19.9137964795874,-3.19031480561458,773.31139588657,0.464358007014976,FALSE
"GSM1602817","Sepsis",6.50247416863449,-3.16261172769819,767.686436770664,-0.253948748665625,FALSE
"GSM1602818","Sepsis",17.0668033199268,-32.4188215127467,759.19803509025,-1.33791685338146,FALSE
"GSM1602819","Sepsis",-22.7603284996498,-19.0498824893578,771.850762913408,0.277835312258769,FALSE
"GSM1602820","Sepsis",15.8364886206963,-4.56448792270292,777.154690860976,0.955146417615537,FALSE
"GSM1602821","Sepsis",-15.3139514044977,-21.0323551795805,770.401866389007,0.0928113609172552,FALSE
"GSM1602822","Sepsis",2.53179547886894,28.2622565080504,762.86202908778,-0.870025160843316,FALSE
"GSM1602823","Sepsis",26.998176781133,-27.1977730065372,760.133907634208,-1.21840601660397,FALSE
"GSM1602824","Sepsis",7.06234060297329,1.8866430791088,762.656892829765,-0.896221041903146,FALSE
"GSM1602825","Sepsis",-10.3144345409608,15.5510825208078,773.877069208196,0.53659443754888,FALSE
"GSM1602826","Sepsis",-5.56860305211545,-20.2190357866393,768.336365707848,-0.170952883865258,FALSE
"GSM1602827","Sepsis",0.765202188105884,3.60268265422331,775.047772940403,0.686093195213974,FALSE
"GSM1602828","Sepsis",22.1324486283338,13.5232454447452,761.962422575664,-0.984904828729237,FALSE
"GSM1602829","Sepsis",-40.7648203669832,-0.988053932040346,768.891503113237,-0.100061888854435,FALSE
"GSM1602830","Sepsis",-30.3111018038507,4.93250702504308,773.098484865444,0.437169289429149,FALSE
"GSM1602831","Sepsis",-29.5084715018296,-4.97479391693599,774.496102964324,0.615644990603328,FALSE
"GSM1602832","Sepsis",4.52767809637335,18.0452979966973,774.35466545385,0.59758343367694,FALSE
"GSM1602833","Sepsis",41.9952640840609,-27.7695271657587,742.747829983926,-3.4386065147143,FALSE
"GSM1602834","Sepsis",8.12717350585545,-28.034729214035,770.641056821214,0.123355956852664,FALSE
"GSM1602835","Sepsis",3.95159003835527,19.5554657907158,771.451098195125,0.226798164924133,FALSE
"GSM1602836","Sepsis",-19.4292716552603,29.2406773456816,769.825111802445,0.0191598538821102,FALSE
"GSM1602837","Sepsis",-23.1587140392831,6.47021603089668,776.011728100443,0.809190179451928,FALSE
"GSM1602838","Sepsis",-1.08319856292629,12.106442392619,774.823692435827,0.657478135630942,FALSE
"GSM1602839","Sepsis",-24.7649157459252,-10.0635378822084,771.574992457783,0.242619450736746,FALSE
"GSM1602840","Sepsis",-28.811018125617,9.80514904650874,766.875993799101,-0.357442240719891,FALSE
"GSM1602841","Sepsis",-15.4358931179755,10.5279631321634,776.953876316078,0.929502418918549,FALSE
"GSM1602842","Sepsis",-36.812885108232,7.70309533964891,769.05430169099,-0.0792725256243318,FALSE
"GSM1602843","Sepsis",11.6253329587447,2.92932443414217,770.019684756727,0.0440068020383492,FALSE
"GSM1602844","Sepsis",-44.9834108286462,-22.349240347734,760.511223912221,-1.17022276301219,FALSE
"GSM1602845","Sepsis",4.02135287868687,-27.6854115163027,769.428488799466,-0.0314888666912188,FALSE
"GSM1602846","Sepsis",7.95285736827073,25.1728874685362,770.040862964493,0.0467112571992887,FALSE
"GSM1602847","Sepsis",6.53133435724246,1.9096634167701,776.698969490737,0.896950841042408,FALSE
"GSM1602848","Sepsis",5.37001276881913,-4.26455822436811,773.887481341558,0.537924066010299,FALSE
"GSM1602849","Sepsis",-7.36786651053707,14.7003395470822,773.42731878837,0.479161350787835,FALSE
"GSM1602850","Sepsis",-14.1600361414714,-6.93355536377295,775.847479099539,0.788215597320348,FALSE
"GSM1602851","Sepsis",30.6821993955533,-8.42658125607957,754.166057290397,-1.98049995018091,FALSE
"GSM1602852","Sepsis",7.65073606976471,-1.40046093962282,764.896954790205,-0.610165338000059,FALSE
