"fold","strategy","algorithm","ROC_AUC","PR_AUC","sensitivity","specificity","balanced_accuracy","PPV","NPV","F1","MCC","Brier","calibration_slope"
"Fold1.Rep01","unweighted","LASSO",1,1,1,0.666666666666667,0.833333333333333,0.980645161290323,1,0.990228013029316,0.808556393123086,0.0088489955015269,55.5751245735457
"Fold1.Rep01","unweighted","glmBoost",1,1,1,0.888888888888889,0.944444444444444,0.993464052287582,1,0.99672131147541,0.939722915326088,0.00845548556811744,52.6760538661278
"Fold1.Rep01","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.00265368944099379,27.3507569981732
"Fold1.Rep01","unweighted","XGBoost",1,1,1,1,1,1,1,1,1,0.000263420837122512,7.96430861345681
"Fold2.Rep01","unweighted","LASSO",1,1,1,1,1,1,1,1,1,0.0017296933771434,20.2515292776984
"Fold2.Rep01","unweighted","glmBoost",1,1,1,1,1,1,1,1,1,0.00649760142296963,38.6126127340655
"Fold2.Rep01","unweighted","Ranger",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0030569,52.748736956639
"Fold2.Rep01","unweighted","XGBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.0051649151238845,29.7216696872038
"Fold3.Rep01","unweighted","LASSO",0.999177631578947,0.999956859206933,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00474307069242112,8.97349388576387
"Fold3.Rep01","unweighted","glmBoost",1,1,1,0.875,0.9375,0.993464052287582,1,0.99672131147541,0.932352425723039,0.00904580173605676,317.093784506609
"Fold3.Rep01","unweighted","Ranger",1,1,1,1,1,1,1,1,1,0.004317925,66.3398559228295
"Fold3.Rep01","unweighted","XGBoost",0.999177631578947,0.999956859206933,0.993421052631579,1,0.996710526315789,1,0.888888888888889,0.996699669966997,0.939702578304707,0.00422743526208077,9.65975142326294
