"sample_id","group","PC1","PC2"
"GSM1602801","Sepsis",-2.2815818249369,12.9609781979543
"GSM1602802","Sepsis",-23.6448911240056,13.1707017257826
"GSM1602803","Sepsis",-21.5780972420636,8.97578207230945
"GSM1602804","Sepsis",5.04363271769334,34.3639663987348
"GSM1602805","Sepsis",-29.784997484414,15.6865640965824
"GSM1602806","Sepsis",-22.0318490406006,14.9631254741771
"GSM1602807","Normal",22.4246733225224,33.1474156820617
"GSM1602808","Sepsis",9.42630287446487,21.6093984183342
"GSM1602809","Normal",10.6154404249667,53.737799468631
"GSM1602810","Sepsis",-0.29415095320234,29.1586748173416
"GSM1602811","Sepsis",-35.5441079942419,-10.839935299717
"GSM1602812","Sepsis",-12.4517524090776,-5.42754157978248
"GSM1602813","Sepsis",20.7941359213147,-24.8865512854475
"GSM1602814","Sepsis",-3.32616557222484,7.78558812816476
"GSM1602815","Sepsis",-23.5603910562348,6.46295036729893
"GSM1602816","Sepsis",17.9364715476339,-4.19144106451432
"GSM1602817","Sepsis",9.67794755835199,-4.11415926216022
"GSM1602818","Sepsis",18.2401807518934,-32.8671539420295
"GSM1602819","Sepsis",-24.9829224796705,-16.072028789352
"GSM1602820","Sepsis",14.2569832668545,-4.87057785135213
"GSM1602821","Sepsis",-19.4469578795069,-17.6505234243661
"GSM1602822","Sepsis",8.12127520068076,29.171085175824
"GSM1602823","Sepsis",21.0832343866443,-27.3425347611027
"GSM1602824","Sepsis",10.2040730937718,1.63728506177516
"GSM1602825","Sepsis",-8.50809867704766,16.3379531641406
"GSM1602826","Sepsis",-10.5228520574426,-19.6219319750231
"GSM1602827","Sepsis",2.41119842823968,3.23170734223991
"GSM1602828","Sepsis",19.9650172593109,10.7468836859393
"GSM1602829","Sepsis",-40.2877294102031,1.61611382693071
"GSM1602830","Sepsis",-29.7308917101483,7.36399840673109
"GSM1602831","Sepsis",-30.554793453495,-2.65344852658257
"GSM1602832","Sepsis",5.143981137349,16.1367052710701
"GSM1602833","Sepsis",41.8557038328848,-28.8421455955315
"GSM1602834","Sepsis",2.26474084031751,-27.5818603358068
"GSM1602835","Sepsis",5.78732549287909,17.6215867807931
"GSM1602836","Sepsis",-15.6879730027559,30.2155941587215
"GSM1602837","Sepsis",-23.8508354151125,8.4554038374815
"GSM1602838","Sepsis",-0.327199077112468,10.5835295244018
"GSM1602839","Sepsis",-24.7652365308661,-7.57410581986783
"GSM1602840","Sepsis",-26.1652696616318,11.1118715873467
"GSM1602841","Sepsis",-14.4729980179242,10.7035572306399
"GSM1602842","Sepsis",-35.1738951822172,12.096318425782
"GSM1602843","Sepsis",13.0543619956664,0.986166760354006
"GSM1602844","Sepsis",-48.1404113370663,-16.4329132068178
"GSM1602845","Sepsis",2.50455348230714,-28.4598459484354
"GSM1602846","Sepsis",8.85533456896422,24.7146946150959
"GSM1602847","Sepsis",6.33772134554787,1.4000772070217
"GSM1602848","Sepsis",4.79060136958331,-6.15661370854351
"GSM1602849","Sepsis",-7.84630334276202,14.3142533619153
"GSM1602850","Sepsis",-15.9126795977015,-5.951291184301
"GSM1602851","Sepsis",26.8445777149142,-10.7672300848101
"GSM1602852","Sepsis",10.8888842451325,-2.04245903466566
"GSM1602853","Sepsis",-3.35958257247484,-1.53245975530116
"GSM1602854","Sepsis",-6.63197034869628,2.44836036676866
"GSM1602855","Sepsis",-39.111555952303,-1.14917515323951
"GSM1602856","Sepsis",25.6577834149858,-10.0451265504706
"GSM1602857","Sepsis",32.2879535455045,-22.2543714162029
"GSM1602858","Sepsis",-14.6262719742856,-26.3261654493552
"GSM1602859","Sepsis",-13.3995135139918,2.03216118822708
"GSM1602860","Sepsis",8.5385727967429,-11.5290613486916
"GSM1602861","Sepsis",-26.3063848120883,-7.60305431795087
"GSM1602862","Normal",22.7946064238323,48.301388752884
"GSM1602863","Sepsis",-18.1076353163794,2.72148456096157
"GSM1602864","Normal",14.5339661629414,56.2618481441718
"GSM1602865","Sepsis",-26.9234015151141,2.47412220321458
"GSM1602866","Sepsis",-19.6991911050776,17.1432702846651
"GSM1602867","Sepsis",-8.6000305015185,-0.68979237360051
"GSM1602868","Sepsis",-19.8698076377473,-0.0200273536119321
"GSM1602869","Sepsis",-5.54701846043365,-34.742119287658
"GSM1602870","Normal",26.3606491121002,49.1653474718839
"GSM1602871","Normal",23.1652444927243,42.0128227089387
"GSM1602872","Normal",23.4634148320222,38.3344776513066
"GSM1602873","Sepsis",-10.0179278091098,-17.5926532018156
"GSM1602874","Normal",25.092618679828,40.8695513914082
"GSM1602875","Normal",9.67263437729511,52.9571941619302
"GSM1602876","Normal",19.5663118107904,44.5770090530146
"GSM1602877","Sepsis",4.28310939143447,23.4502895196061
"GSM1602878","Sepsis",11.4458127457854,-14.9408733286289
"GSM1602879","Sepsis",25.7268061484704,-30.368516983979
"GSM1602880","Sepsis",26.0309739847009,-4.83826511099889
"GSM1602881","Sepsis",-6.65338896229971,8.28983718524201
"GSM1602882","Sepsis",-7.45178918110371,1.84302123048759
"GSM1602883","Sepsis",-45.1792438182987,-12.4018518223548
"GSM1602884","Normal",18.3345101878615,51.8838864838334
"GSM1602885","Sepsis",-31.0911364635759,-17.7673278530503
"GSM1602886","Sepsis",11.7081998146533,-7.62663475075293
"GSM1602887","Sepsis",27.2786859077994,-9.35918933783502
"GSM1602888","Sepsis",-3.86603373200824,17.8814190725242
"GSM1602889","Sepsis",-24.21364532174,-4.9361800226669
"GSM1602890","Sepsis",-33.7822676505521,-2.88710970607779
"GSM1602891","Normal",25.6310735546532,30.0353607974876
"GSM1602892","Normal",28.1535694718226,32.3987191852417
"GSM1602893","Normal",19.9487458627174,30.5735221077948
"GSM1602894","Normal",25.4585560232654,47.1747465259697
"GSM1602895","Normal",14.0765553781688,45.8093451491992
"GSM1602896","Normal",21.0151436337171,53.8218721117115
"GSM1602897","Normal",26.6173640714758,48.730886165508
"GSM1602898","Normal",27.5367292821585,31.4983349022417
"GSM1602899","Normal",13.7828997022002,42.4946762708571
"GSM1602900","Normal",17.2905820533488,48.0672013604403
"GSM1602901","Normal",24.140951971004,42.2119451242384
"GSM1602902","Sepsis",-36.8990646826682,-13.7466112809804
"GSM1602903","Sepsis",28.8437639787738,-29.6587184030917
"GSM1602904","Sepsis",7.48587589568772,12.7660885297107
"GSM1602905","Sepsis",-2.71513980367966,33.1401114590243
"GSM1602906","Sepsis",-15.6681055079196,17.0271254779588
"GSM1602907","Sepsis",13.9506455949567,5.74296364179961
"GSM1602908","Sepsis",2.46078547740892,-16.9111081114375
"GSM1602909","Normal",36.1811676493491,41.3164840260416
"GSM1602910","Normal",41.7566907240709,27.2916871526853
"GSM1602911","Normal",23.2141866555635,36.2594721743856
"GSM1602912","Sepsis",22.9532700272389,-14.0746114895386
"GSM1602913","Normal",26.8328496487662,47.6183551243712
"GSM1602914","Normal",35.7663296228719,36.0495308114497
"GSM1602915","Normal",35.0258248334665,36.6979123199059
"GSM1602916","Normal",33.3653197444441,33.4925782077365
"GSM1602917","Normal",15.8506171470123,27.6384136177152
"GSM1602918","Sepsis",25.1270095245854,21.268235346717
"GSM1602919","Sepsis",-28.6410526638777,22.8615619790118
"GSM1602920","Normal",12.4803154035785,45.7542158229061
"GSM1602921","Sepsis",3.26036494107402,7.48704574771901
"GSM1602922","Sepsis",-33.1274341479861,2.87753275688429
"GSM1602923","Sepsis",-3.23006549235411,-13.6024418075693
"GSM1602924","Sepsis",-40.0223555743465,0.995414543207946
"GSM1602925","Sepsis",-23.0847837214628,-5.35102267970398
"GSM1602926","Sepsis",32.4140871484863,9.9955419269857
"GSM1602927","Sepsis",-37.8219619891532,-11.519936263134
"GSM1602928","Sepsis",-39.8997354704986,-1.22226419267186
"GSM1602929","Sepsis",-6.59740294410753,-25.2345806188036
"GSM1602930","Sepsis",8.04924785667491,7.88123209816966
"GSM1602931","Sepsis",11.3129763660913,7.37963865797591
"GSM1602932","Sepsis",-47.2537834320775,-6.88639697504413
"GSM1602933","Sepsis",4.43577934536476,-16.4795017585876
"GSM1602934","Sepsis",-18.1178781422495,-14.2323903373817
"GSM1602935","Sepsis",25.9757465207081,-24.5520582404543
"GSM1602936","Sepsis",-15.7808436182274,-3.48422916089604
"GSM1602937","Sepsis",26.9298973244058,-7.09590547360792
"GSM1602938","Sepsis",-10.0032943921001,1.30232523395759
"GSM1602939","Sepsis",22.2042909477369,-5.92213850963433
"GSM1602940","Sepsis",-10.8348632100719,-19.3914863465553
"GSM1602941","Sepsis",3.08211497678379,35.896837186257
"GSM1602942","Sepsis",-27.5463859832987,-6.14427189585598
"GSM1602943","Sepsis",-9.69126010417112,23.4938040405927
"GSM1602944","Sepsis",33.88378495125,-12.4450922705803
"GSM1602945","Sepsis",12.9305887992424,-0.984269458596039
"GSM1602946","Sepsis",-18.2768962011327,-3.24299629050606
"GSM1602947","Sepsis",-18.748361319814,5.65972446878247
"GSM1602948","Normal",10.4840316613682,57.114302755384
"GSM1602949","Sepsis",-24.0465640180407,29.7041552926715
"GSM1602950","Sepsis",3.02098584675131,18.0739638921772
"GSM1602951","Sepsis",-33.6607180558401,8.3452616781897
"GSM1602952","Sepsis",-10.1116019983017,23.3504899096807
"GSM1602953","Sepsis",37.2699009474315,-19.8529216238161
"GSM1602954","Normal",15.6061803081941,44.3773050998997
"GSM1602955","Sepsis",14.8857680044397,-3.26562958696803
"GSM1602956","Normal",23.1637622559611,42.8085324099105
"GSM1602957","Normal",28.1396376993168,35.6521045268162
"GSM1602958","Sepsis",-11.6967492016218,2.03342869178756
"GSM1602959","Sepsis",10.4996815646177,17.1295846126542
"GSM1602960","Normal",13.9341351955733,48.4783943616465
"GSM1602961","Normal",15.2726376140982,44.6156286265835
"GSM1602962","Normal",25.3468209512139,45.3784566381707
"GSM1602963","Normal",16.6152580400102,54.789300702923
"GSM1602964","Normal",12.5220595934331,39.8403113871129
"GSM1602965","Sepsis",-19.7078183711433,45.414253406577
"GSM1602966","Normal",0.93387182667117,45.0650412497193
"GSM1602967","Sepsis",7.02036066090364,20.2340024184781
"GSM1602968","Sepsis",8.27199835843328,15.3985439905845
"GSM1602969","Normal",19.0097955023168,49.1895704543532
"GSM1602970","Sepsis",-11.303182899727,2.40814797492284
"GSM1602971","Sepsis",-7.08324782418358,12.9560391787407
"GSM1602972","Sepsis",27.497734220215,-20.6826730509437
"GSM1602973","Sepsis",60.1336317368139,-4.28519943054594
"GSM1602974","Sepsis",32.9028072070611,-41.4557321382306
"GSM1602975","Sepsis",-17.4662179283449,5.82526643934591
"GSM1602976","Sepsis",-19.2068215461211,-16.3574482273952
"GSM1691861","Sepsis",-20.0747053556229,-23.0607154996341
"GSM1691862","Sepsis",-10.3631008840933,0.236203487323441
"GSM1691863","Sepsis",-7.85500996953242,-17.5793545321136
"GSM1691864","Sepsis",5.31120305918943,-1.44514136308337
"GSM1691865","Sepsis",-15.1170150629323,-16.070621080032
"GSM1691866","Sepsis",10.4300791701547,-17.55617043014
"GSM1691867","Sepsis",11.134123118691,-9.40295438535151
"GSM1691868","Sepsis",25.3285340540814,-2.36327493181254
"GSM1691869","Sepsis",22.7730550664028,-14.1437240356372
"GSM1691870","Sepsis",-1.95716835571699,9.99002766807574
"GSM1691871","Sepsis",-12.4346315382531,-29.8108361257397
"GSM1691873","Sepsis",16.1194377119915,8.13936567149017
"GSM1691874","Sepsis",-15.0861142937723,-3.12073572407576
"GSM1691875","Sepsis",-25.1933521480056,17.9475483528809
"GSM1691876","Sepsis",4.09425794525224,0.0303212494834416
"GSM1691877","Sepsis",-15.3707242426321,-14.763774726085
"GSM1691878","Sepsis",-3.85550242297381,7.42555811318703
"GSM1691879","Sepsis",-2.56890671661002,23.5554691677782
"GSM1691880","Sepsis",2.76384347738595,-9.55477242978706
"GSM1691881","Sepsis",-7.01609085470601,10.3935585835638
"GSM1691882","Sepsis",-47.0601992260304,-6.72968211330244
"GSM1691883","Sepsis",9.27815280555606,12.0099393729897
"GSM1691884","Sepsis",-10.628475591588,13.4152570959819
"GSM1691885","Sepsis",-18.5813956611758,13.3428731107182
"GSM1691886","Sepsis",-23.2875856745568,9.31073711548594
"GSM1691887","Sepsis",4.41891749423322,-14.9795944849455
"GSM1691888","Sepsis",-14.9678884705755,-0.279682800374751
"GSM1691889","Sepsis",9.35674524498193,-16.5125639070733
"GSM1691890","Sepsis",-19.7137051519798,19.791136037456
"GSM1691891","Sepsis",-3.14406407988198,-11.4133598879055
"GSM1691892","Sepsis",-24.584802732602,13.0141416721837
"GSM1691893","Sepsis",59.7784988266879,-35.8690282840547
"GSM1691894","Sepsis",3.23374783392068,-5.04352484960763
"GSM1691895","Sepsis",9.57610799661569,-7.77803031132864
"GSM1691896","Sepsis",12.8289374544664,-18.7392803396716
"GSM1691897","Sepsis",19.0566729546102,-9.34117325385668
"GSM1691898","Sepsis",-8.23099383154946,-13.6803327106806
"GSM1691899","Sepsis",33.1733610094145,5.92028902691862
"GSM1691900","Sepsis",19.8675399685632,-3.78065103845275
"GSM1691901","Sepsis",-23.389671959906,-0.124132641545413
"GSM1691902","Sepsis",18.9219649613109,17.3852385530954
"GSM1691903","Sepsis",35.0118665922521,-16.6761850638559
"GSM1691904","Sepsis",-5.30807874560953,7.02321855996359
