"fold","strategy","algorithm","gene","importance","rank","selected"
"Fold1.Rep01","unweighted","Ranger","PJA1",0.000426621670333962,50,FALSE
"Fold1.Rep01","unweighted","Ranger","DOCK10",0.000422084496964376,51,FALSE
"Fold1.Rep01","unweighted","Ranger","C2orf89",0.000421073609102994,52,FALSE
"Fold1.Rep01","unweighted","Ranger","CD160",0.000412289823568878,53,FALSE
"Fold1.Rep01","unweighted","Ranger","PTCH1",0.000406799457926871,54,FALSE
"Fold1.Rep01","unweighted","Ranger","PRKCQ",0.000403444324118479,55,FALSE
"Fold1.Rep01","unweighted","Ranger","OSGEPL1",0.000388453349655459,56,FALSE
"Fold1.Rep01","unweighted","Ranger","GCET2",0.00038719340913465,57,FALSE
"Fold1.Rep01","unweighted","Ranger","DYRK2",0.000385707526556794,58,FALSE
"Fold1.Rep01","unweighted","Ranger","ABLIM1",0.00034448861483418,59,FALSE
"Fold1.Rep01","unweighted","Ranger","RNASEN",0.000338032456207007,60,FALSE
"Fold1.Rep01","unweighted","Ranger","C19orf29",0.000321163247314411,61,FALSE
"Fold1.Rep01","unweighted","Ranger","SIRPG",0.000319739112873515,62,FALSE
"Fold1.Rep01","unweighted","Ranger","PATZ1",0.000314695940245888,63,FALSE
"Fold1.Rep01","unweighted","Ranger","KLF12",0.000304892579926952,64,FALSE
"Fold1.Rep01","unweighted","Ranger","CCR6",0.00030322668513914,65,FALSE
"Fold1.Rep01","unweighted","Ranger","FBXL16",0.000297493728318955,66,FALSE
"Fold1.Rep01","unweighted","Ranger","WBP11",0.000295679757650682,67,FALSE
"Fold1.Rep01","unweighted","Ranger","IL11RA",0.000262307219146099,68,FALSE
"Fold1.Rep01","unweighted","Ranger","C12orf65",0.000258885233501876,69,FALSE
"Fold1.Rep01","unweighted","Ranger","UBASH3A",0.000244125369455988,70,FALSE
"Fold1.Rep01","unweighted","Ranger","MTR",0.000243594123413401,71,FALSE
"Fold1.Rep01","unweighted","Ranger","NR1D2",0.000217976823972791,72,FALSE
"Fold1.Rep01","unweighted","Ranger","TAF3",0.000215122883427688,73,FALSE
