"sample_id","group","array_median","array_IQR","missing_fraction","S100A8","duplicate_sample_id","label_supported_by_title"
"GSM1602861","Sepsis",4.0067486505,3.150705212,0,13.23189536,FALSE,TRUE
"GSM1602862","Normal",4.172832359,3.047271477,0,10.18345886,FALSE,TRUE
"GSM1602863","Sepsis",4.032505887,3.22184726,0,13.07862675,FALSE,TRUE
"GSM1602864","Normal",4.342445005,3.138278706,0,10.37289118,FALSE,TRUE
"GSM1602865","Sepsis",3.919506346,3.1441458265,0,13.15371255,FALSE,TRUE
"GSM1602866","Sepsis",4.011767931,3.2089925425,0,13.16766887,FALSE,TRUE
"GSM1602867","Sepsis",3.8421143635,3.042302354,0,12.59722862,FALSE,TRUE
"GSM1602868","Sepsis",3.9842795995,3.1064058725,0,13.21279686,FALSE,TRUE
"GSM1602869","Sepsis",3.7572331135,2.80968462975,0,13.08744687,FALSE,TRUE
"GSM1602870","Normal",4.100210174,3.03696037925,0,10.58631514,FALSE,TRUE
"GSM1602871","Normal",4.004833076,2.9834858735,0,11.77713358,FALSE,TRUE
"GSM1602872","Normal",4.03936061,2.985708343,0,11.49026563,FALSE,TRUE
"GSM1602873","Sepsis",3.7993860415,2.9955679205,0,13.01077578,FALSE,TRUE
"GSM1602874","Normal",4.035148616,2.95408177675,0,11.06355068,FALSE,TRUE
"GSM1602875","Normal",4.252058223,3.1035163415,0,10.81040365,FALSE,TRUE
"GSM1602876","Normal",4.097327722,3.0109577955,0,11.19316792,FALSE,TRUE
"GSM1602877","Sepsis",4.0143977825,3.11035187725,0,12.62080087,FALSE,TRUE
"GSM1602878","Sepsis",3.7902716265,2.79242771375,0,12.94968087,FALSE,TRUE
"GSM1602879","Sepsis",3.5214520675,2.4974121265,0,12.86367864,FALSE,TRUE
"GSM1602880","Sepsis",3.745801679,2.6062487395,0,13.11229877,FALSE,TRUE
"GSM1602881","Sepsis",3.942656051,3.1724604865,0,12.89918578,FALSE,TRUE
"GSM1602882","Sepsis",3.959329642,2.994343974,0,13.02403094,FALSE,TRUE
"GSM1602883","Sepsis",4.093490356,3.31088164925,0,13.21804067,FALSE,TRUE
"GSM1602884","Normal",4.1983776105,3.062281546,0,11.06206882,FALSE,TRUE
"GSM1602885","Sepsis",4.058985236,3.257452878,0,13.39153121,FALSE,TRUE
"GSM1602886","Sepsis",3.9315802105,3.03421304425,0,12.60855837,FALSE,TRUE
"GSM1602887","Sepsis",3.751446408,2.7170313465,0,12.44860179,FALSE,TRUE
"GSM1602888","Sepsis",4.057776507,3.18021045,0,12.65069807,FALSE,TRUE
