"C5orf32","S100A8","MAFG","CD177","MYL6","EXOSC4"
0.0229046909309568,0.0157003447576712,0.0101257017834095,0.0035784160396139,0.00270226526034739,0.00219703442428376
0.0228812905465787,0.0152716471021354,0.00998452033656166,0.00359945308323964,0.00259207792835586,0.00206921932337359
0.0225547773527345,0.0159610251235123,0.00965456791549163,0.00354599615251287,0.00253932546381251,0.00188875945996975
0.0233990497046297,0.0161777315564663,0.0104725435050591,0.00377661261059527,-0.000638776295486488,0.00240743852999217
0.022835487085924,0.0156278169937188,0.0100974339202897,0.00368514122121626,0.00265657975886889,0.00204608160932035
0.0229025361040841,0.015840182792768,0.00992826932612207,0.00372856508051191,0.00264365197891388,0.00194600522061392
-0.294758819080484,-0.212757845616762,-0.169418889905801,-0.0389724792135814,-0.035080519514886,-0.0371241076517133
0.0227945410732803,0.0156820700002559,0.0101862066091728,0.00352236547517187,0.0026003020510619,0.00233106924939889
0.0228337179076371,0.0157594105651994,0.0101337126552536,0.00350023215407556,0.00247555347018494,0.00219586110219766
0.0227341255039986,0.0156193653179276,0.010073280489249,0.00340310570304898,0.00273197742571053,0.00214224943004135
0.0227244593257756,0.0158179764411478,0.00975195650360932,0.0036186060313762,0.0024964466088539,0.00209510759210735
0.0240324384688212,0.016341623310646,0.0103512293414691,0.00386579232124251,-0.000638480108350096,0.00221186288113254
0.0227189921625645,0.0155963090381873,0.0100040468630682,0.00355896071549517,0.00255492047276874,0.00217033852708991
-0.321200576220742,-0.22727046329502,-0.175446244920187,-0.0455187685594803,-0.0328678955804529,-0.0348318997156146
0.0227735800450984,0.0159706514331868,0.00999998045933215,0.00348009123696506,0.00272438543750804,0.00181934533661888
0.0228812883932131,0.0157654615867816,0.0101094405451294,0.00359771271534833,0.00261942376722372,0.00205907022788606
0.0226845392616987,0.0157192691264756,0.00991359653816223,0.00333594011258853,0.00261268099053586,0.00218107457221195
0.0230417515693351,0.0156742457419912,0.00997939945486729,0.00351119373750997,0.00271823199801553,0.00194671814545734
0.0228071934446989,0.0154898283994652,0.0102485771777966,0.0034634212129062,0.00262984905480882,0.00205532443653504
