"dataset","endpoint","n","events","effect_type","estimate","ci_low","ci_high","p_value","log_effect","se","label"
"GSE63042","In-hospital sepsis death",106,28,"OR per 1 SD",1.05343796580545,0.68235683962142,1.62632142504208,0.814236797144168,0.0520590686227771,0.221562041502402,"GSE63042  In-hospital sepsis death"
"GSE54514","Mortality (day 1)",35,9,"OR per 1 SD",0.578434395459878,0.268902252186224,1.24426756239781,0.161280830575568,-0.547430143342927,0.390804692268564,"GSE54514  Mortality (day 1)"
"GSE272769","30-day mortality",161,60,"OR per 1 SD",1.36234737526228,0.959152876453697,1.93503081359275,0.0841566341224128,0.309209223124634,0.179037769167171,"GSE272769  30-day mortality"
"GSE272769","Septic shock",161,123,"OR per 1 SD",1.41230221157504,0.989799784551576,2.01515252675408,0.0569793010796906,0.345221147030225,0.181364153654717,"GSE272769  Septic shock"
