"avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
0.0072634416521783,0.365408038976857,"CD14","0",-0.286863143073277
0.00856387208571597,0.382808421785279,"VCAN","0",-0.297190487543328
0.0102463581610571,0.417609187402123,"FCN1","0",-0.299489715796928
0.0403694682291445,1.79223942926744,"LYZ","0",-0.378199774129697
0.273016444045207,8.64799025578563,"S100A8","0",-0.338019550340118
0.306861014970286,10.7360361927962,"S100A9","0",-0.343691276666912
0.00329084521026298,0.121802679658952,"MNDA","0",-0.642269854313661
0.0107771632104267,0.243605359317905,"FCGR3A","0",-0.390173413368528
0.128446286947519,6.10753436575605,"LST1","0",-0.520864879250173
0.00110895746879926,0.0696015312336871,"MS4A7","0",-0.738025561354022
0.0104593241874902,0.504611101444232,"CDKN1C","0",-0.522903625098232
0.00819502243068189,0.435009570210545,"CSF3R","0",-0.338652599942644
0,0,"FCGR3B","0",-0.316980062549372
0.424168146065828,19.140421089264,"NAMPT","0",-0.523691695013537
0,0,"CXCR2","0",-0.340558501420115
0,0,"FCER1A","0",-0.307291966637548
0.0305616398958076,1.33982947624848,"CST3","0",-0.621239849579612
0.137957976438588,3.25387158517487,"HLA-DRA","0",-1.2480941002672
0.00920001590116405,0.435009570210545,"HLA-DQA1","0",-0.936120340292038
2.59892125347182,69.1143205150513,"CD3D","0",1.07064006778535
3.50837219019242,78.1625195754307,"CD3E","0",0.908627284070007
4.08395580249702,79.8851574734644,"IL7R","0",1.6032173814154
1.43534139977643,44.0055681224987,"TRAC","0",0.952589413107639
0.484500412293386,17.5395858708892,"CD8A","0",0.459817483455689
1.2723162618428,28.0494170871759,"CD8B","0",1.62867775431513
0.178999809634434,3.16686967113276,"GNLY","0",-0.61022493727121
0.116672608017482,3.77588306942753,"NKG7","0",-0.665440322629401
0.00530873350696808,0.19140421089264,"KLRF1","0",-0.46090897531084
0.038871856773939,0.574212632677919,"KLRD1","0",-0.452573007536626
0.00793873975783975,0.417609187402123,"MS4A1","0",-0.847776148274027
0.0684223074854563,2.80146163215591,"CD79A","0",-0.847396640627783
0.0195026021673546,0.870019140421089,"CD79B","0",-0.853033519442189
0.0912910585652556,4.40229685053071,"RALGPS2","0",-0.693655787109245
0.207941419991477,3.02766660866539,"PPBP","0",-0.465746905170625
0.0987991561924883,1.61823560118323,"PF4","0",-0.396242561630073
0.00200144596869818,0.10452051215051,"CD14","1",-0.304972322863608
0.0122641040430508,0.339691664489156,"VCAN","1",-0.286838806999322
0.00911716389586757,0.365821792526783,"FCN1","1",-0.302034424926741
0.0355883044643392,1.332636529919,"LYZ","1",-0.383632780384658
0.272743228717049,6.95061405800888,"S100A8","1",-0.338134393674036
0.222073012452097,6.40188136921871,"S100A9","1",-0.382253780906114
0.243500443160381,7.65612751502482,"MNDA","1",0.257961766333286
0.00167924808224278,0.0783903841128822,"FCGR3A","1",-0.416276059200999
0.218322974143235,8.204860203815,"LST1","1",-0.390625937082345
0.031279246946651,1.17585576169323,"MS4A7","1",0.302239709001112
0.00534647682192445,0.261301280376274,"CDKN1C","1",-0.591665942512519
0.0186532710305749,0.783903841128821,"CSF3R","1",-0.323035336138133
0.00134056801498525,0.0522602560752548,"FCGR3B","1",-0.30255145340225
0.856759278351781,28.2727985367128,"NAMPT","1",-0.215542354910794
0.000934888301882912,0.0261301280376274,"CXCR2","1",-0.318961146100118
0.000578740377356088,0.0261301280376274,"FCER1A","1",-0.302089120977015
0.0332360498709239,1.12359550561798,"CST3","1",-0.618490779747992
39.6606266095989,99.790958975699,"HLA-DRA","1",1.09291320899485
3.31711232730752,68.0167232819441,"HLA-DQA1","1",1.09977098490424
0.069991896005261,2.90044421217664,"CD3D","1",-0.803383085741145
0.106302773391735,3.55369741311732,"CD3E","1",-0.844113705486022
0.134645481351076,4.33760125424615,"IL7R","1",-0.715561008946858
0.0506571590976153,2.14267049908545,"TRAC","1",-0.746979568935623
0.018040574992907,0.966814737392213,"CD8A","1",-0.661926604483196
0.0236071190013626,1.0452051215051,"CD8B","1",-0.703486791369968
0.102813679213377,2.61301280376274,"GNLY","1",-0.65489758131093
0.0652038100057943,1.35876665795662,"NKG7","1",-0.700915404267364
0.0118226588155846,0.49647243271492,"KLRF1","1",-0.44068250391822
0.00648045501420558,0.261301280376274,"KLRD1","1",-0.50661602916392
2.81678578633809,57.643062451006,"MS4A1","1",1.00246920782514
10.8009020973835,92.6051737653515,"CD79A","1",1.13615221104613
0.533508922528667,15.9393781029527,"CD79B","1",0.484682261668488
1.32502343253616,37.4183433498824,"RALGPS2","1",1.27993721697633
0.222576330359962,2.37784165142409,"PPBP","1",-0.459096032412803
0.0866668983617439,1.332636529919,"PF4","1",-0.402924718850546
0.00822639326833866,0.275406224180666,"CD14","2",-0.283559383897494
0.0235428005728717,0.633434315615533,"VCAN","2",-0.255517668241816
0.00896501007086326,0.302946846598733,"FCN1","2",-0.302377530659814
0.0948902671517856,3.00192784356926,"LYZ","2",-0.317953493357079
0.648297602271991,12.6686863123107,"S100A8","2",-0.199789353655422
0.666475309397396,15.0371798402644,"S100A9","2",-0.203948425936408
0.017992998626983,0.523271825943266,"MNDA","2",-0.581256487168064
