"metric","value"
"AUC",0.998872180451128
"AUC",0.999028822055138
"AUC",0.996898496240602
"AUC",0.998621553884712
"AUC",0.998464912280702
"AUC",0.998558897243108
"AUC",0.997431077694236
"AUC",0.997713032581454
"AUC",0.998840852130326
"AUC",0.999342105263158
"AUC",0.998966165413534
"AUC",0.999436090225564
"AUC",0.99953007518797
"AUC",0.999248120300752
"AUC",0.997462406015038
"AUC",0.99937343358396
"AUC",0.999342105263158
"AUC",0.997462406015038
"AUC",0.998684210526316
"AUC",0.999279448621554
"AUC",0.997211779448622
"AUC",0.997932330827068
"AUC",0.99827694235589
"AUC",0.998809523809524
"AUC",0.998715538847118
"AUC",0.999185463659148
"AUC",0.998840852130326
"AUC",0.998464912280702
"AUC",0.997055137844612
"AUC",0.9984335839599
"AUC",0.999404761904762
"AUC",0.9984335839599
"AUC",0.996115288220551
"AUC",0.998809523809524
"AUC",0.997243107769424
"AUC",0.99859022556391
"AUC",0.998558897243108
"AUC",0.997901002506266
"AUC",0.998778195488722
"AUC",0.998151629072682
"AUC",0.998339598997494
"AUC",0.999342105263158
"AUC",0.996553884711779
"AUC",0.998402255639098
"AUC",0.997994987468672
"AUC",0.998652882205514
"AUC",0.996710526315789
"AUC",0.998684210526316
"AUC",0.999279448621554
"AUC",0.997744360902256
"AUC",0.998245614035088
"AUC",0.998778195488722
"AUC",0.99921679197995
"AUC",0.998558897243108
"AUC",0.997274436090226
"AUC",0.996428571428571
"AUC",0.99765037593985
"AUC",0.99718045112782
"AUC",0.997994987468672
"AUC",0.99812030075188
"AUC",0.998715538847118
"AUC",0.998088972431078
"AUC",0.998684210526316
"AUC",0.998558897243108
"AUC",0.997368421052632
"AUC",0.99937343358396
"AUC",0.998151629072682
"AUC",0.998684210526316
"AUC",0.99827694235589
"AUC",0.998339598997494
"AUC",0.997305764411028
"AUC",0.998621553884712
"AUC",0.998214285714286
"AUC",0.998402255639098
"AUC",0.998308270676692
"AUC",0.998558897243108
"AUC",0.998151629072682
"AUC",0.997149122807018
"AUC",0.996209273182957
"AUC",0.999498746867168
"AUC",0.997681704260652
"AUC",0.998840852130326
"AUC",0.997994987468672
"AUC",0.998997493734336
"AUC",0.996271929824561
"AUC",0.998026315789474
"AUC",0.999248120300752
"AUC",0.998370927318296
"AUC",0.999122807017544
"AUC",0.998684210526316
"AUC",0.996961152882206
"AUC",0.99937343358396
"AUC",0.99796365914787
"AUC",0.998872180451128
"AUC",0.999404761904762
"AUC",0.998182957393484
"AUC",0.998151629072682
"AUC",0.998088972431078
"AUC",0.999091478696742
"AUC",0.998245614035088
"AUC",0.998245614035088
"AUC",0.997055137844612
"AUC",0.997462406015038
"AUC",0.99796365914787
"AUC",0.999091478696742
