"analysis","estimate","ci_low","ci_high"
"1:1 downsampling AUC",1,0.991496598639456,1
"1:1 downsampling SMD",4.32084333065517,3.79998385423786,4.71246531873903
"Bootstrap AUC",0.998558897243108,0.996302474937343,0.999624060150376
"Bootstrap SMD",5.8952054296528,5.23255601954567,6.63693833067651
