"Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Regulation"
"A4GALT",2.90299504347506,0.238147921706891,0.053165546297375,4.47936564734687,8.57058478910053e-06,1.75132838959841e-05,"Not significant"
"AAA1",3.44033546916958,0.234898538360402,0.0597586307904912,3.93078849453457,9.19586503695864e-05,0.000168200940171872,"Not significant"
"AACS",2.87549996743142,-0.372273898671181,0.0478111552071973,-7.78633975811445,2.12364547421703e-14,8.15432546276193e-14,"Not significant"
"AAGAB",4.95558535008105,-0.196454325688159,0.0673282833259709,-2.91785733993874,0.00362269758591427,0.00542270954264009,"Not significant"
"AAK1",6.24722454318703,-0.843225257460271,0.109657961894978,-7.68959447074026,4.311820861789e-14,1.61335340610809e-13,"Not significant"
"AAMP",4.61744392145885,-0.639010486036589,0.0505999801018625,-12.6286706980952,1.75543870815769e-33,2.05514347861138e-32,"Not significant"
"AARS",3.14513628588778,-0.486079675928631,0.0621225435832668,-7.82452951684292,1.60262418511577e-14,6.20864556210634e-14,"Not significant"
"AARS2",2.55376565875312,-0.758453089862468,0.0496111572815865,-15.2879539890107,1.65577708171653e-46,4.77932305926995e-45,"Not significant"
"AASDH",4.19031316160474,-0.556758921843046,0.0762012722706811,-7.30642553926573,6.61848088632288e-13,2.30770537062832e-12,"Not significant"
"AASDHPPT",5.1191319501621,-0.586352194829314,0.0857493473269544,-6.83797851654319,1.58960572861743e-11,5.06074151960544e-11,"Not significant"
"AATF",5.51080464192269,-0.613981509750129,0.0827357151488216,-7.42099719142724,2.96102517828228e-13,1.05247965011495e-12,"Not significant"
"AATK",6.16996940861347,0.345329694610654,0.0912488266058243,3.78448367453979,0.00016547392158469,0.0002941284524573,"Not significant"
"ABAT",4.941573556399,-0.46904075273126,0.103756806314055,-4.52057816150923,7.09416937526933e-06,1.46521979042618e-05,"Not significant"
"ABCA1",6.25682467969202,0.570271629404835,0.205963904034335,2.76879403737545,0.0057559690141511,0.0083940021001539,"Not significant"
"ABCA13",2.59806008285786,0.448973974117106,0.12758483608843,3.51902301152717,0.000457476116088178,0.000772390520737265,"Not significant"
"ABCA5",4.23526279100873,-0.59466267831078,0.114364645239219,-5.19970727900138,2.53405769315194e-07,5.94646017341762e-07,"Not significant"
"ABCA7",4.70517205872569,0.0832466206524467,0.133915113307484,0.621637234188074,0.534356677908787,0.571466135098839,"Not significant"
"ABCB1",4.90450448858479,0.0974154301837071,0.0612696722036,1.58994534620643,0.112240202947393,0.13512871772555,"Not significant"
"ABCB10",4.59222269804489,0.0764673332805144,0.148886518567557,0.513594743272996,0.607676485440502,0.641390681156195,"Not significant"
"ABCB6 ",2.58265971380798,0.300314876958647,0.0860287712415398,3.49086558629861,0.000507694644443856,0.00085263306652874,"Not significant"
"ABCB7",4.28328451247132,-0.919081069865723,0.0965122368049776,-9.52294859482857,1.91851804517489e-20,1.05952464521228e-19,"Not significant"
"ABCB9",3.47783114616334,0.229077079697303,0.0619201200992956,3.69955806497069,0.000230672842101688,0.000403109907036934,"Not significant"
"ABCC1",5.2004914104414,-0.830151412961221,0.0912721289559577,-9.09534402732953,7.26120624341905e-19,3.67735851195453e-18,"Not significant"
"ABCC10",2.7365683521783,-0.203798806638721,0.0563623385198967,-3.61586853900282,0.000317997297085277,0.000547306553758608,"Not significant"
"ABCC11",2.49254660591272,0.151636137370301,0.0439831807798233,3.4475937092722,0.000594991089064755,0.000991708231083753,"Not significant"
"ABCC13",4.45569942328803,1.47214006350884,0.24309187922108,6.0558998030946,2.14231778988947e-09,5.88509661971746e-09,"Up"
"ABCC3",3.52859587707855,0.449993943377313,0.1121027517242,4.01412040700308,6.52478286860566e-05,0.00012150632518225,"Not significant"
"ABCC4",3.46191611402369,0.447901584640288,0.116970590806024,3.82918117754108,0.000138569853444133,0.00024826480851732,"Not significant"
"ABCC5",4.75077304501247,-0.501438836942038,0.147741856715535,-3.39402013816244,0.00072247681985259,0.0011895451643381,"Not significant"
"ABCC6 ",2.62561586829551,0.212509827248058,0.0485698772387189,4.37534207063324,1.37208924986348e-05,2.74628760361231e-05,"Not significant"
"ABCC8",2.84747831475187,0.0873129160047603,0.0591740277469138,1.47552768214792,0.140462195349661,0.166590068545964,"Not significant"
"ABCD1",2.6946291591384,0.147153411874126,0.0492475613509784,2.98803449018298,0.00289319339895415,0.00440214664273483,"Not significant"
