"Gene","Step","Coefficient","StepIndex","Lambda","LogLambda"
"ACVR1B","s25",0,25,0.0172969145384111,-4.05722714376558
"ACVR1B","s26",0,26,0.0157603043231128,-4.15026088489666
"ACVR1B","s27",0,27,0.0143602023242663,-4.24329462602773
"ACVR1B","s28",0,28,0.0130844815281545,-4.3363283671588
"ACVR1B","s29",0,29,0.0119220922515355,-4.42936210828987
"ACVR1B","s30",0,30,0.0108629664345722,-4.52239584942095
"ACVR1B","s31",0,31,0.00989793043611486,-4.61542959055202
"ACVR1B","s32",0,32,0.0090186255760098,-4.70846333168309
"ACVR1B","s33",0,33,0.00821743573621073,-4.80149707281416
"ACVR1B","s34",0,34,0.00748742139360768,-4.89453081394524
"ACVR1B","s35",0,35,0.00682225951319765,-4.98756455507631
"ACVR1B","s36",0,36,0.00621618878098029,-5.08059829620738
"ACVR1B","s37",0,37,0.00566395970221219,-5.17363203733845
"ACVR1B","s38",0,38,0.00516078913279472,-5.26666577846953
"ACVR1B","s39",0,39,0.0047023188499681,-5.3596995196006
"ACVR1B","s40",0,40,0.00428457780347076,-5.45273326073167
"ACVR1B","s41",0,41,0.00390394772020166,-5.54576700186274
"ACVR1B","s42",0,42,0.00355713176446973,-5.63880074299382
"ACVR1B","s43",0,43,0.00324112598238019,-5.73183448412489
"ACVR1B","s44",0,44,0.00295319328302306,-5.82486822525596
"ACVR1B","s45",0,45,0.00269083973110104,-5.91790196638703
"ACVR1B","s46",0,46,0.00245179294565508,-6.01093570751811
"ACVR1B","s47",0,47,0.0022339824177876,-6.10396944864918
"ACVR1B","s48",0,48,0.00203552157690489,-6.19700318978025
"ACVR1B","s49",0,49,0.00185469145014521,-6.29003693091132
"ACVR1B","s50",0,50,0.00168992577345814,-6.3830706720424
"ACVR1B","s51",0,51,0.00153979742537472,-6.47610441317347
"ACVR1B","s52",0,52,0.00140300606596397,-6.56913815430454
"ACVR1B","s53",0,53,0.00127836687391048,-6.66217189543561
"ACVR1B","s54",0,54,0.00116480028415901,-6.75520563656669
"ACVR1B","s55",0,55,0.00106132263723843,-6.84823937769776
"ACVR1B","s56",0,56,0.000967037659273928,-6.94127311882883
"ACVR1B","s57",0,57,0.000881128698891504,-7.0343068599599
"ACVR1B","s58",0,58,0.000802851653774438,-7.12734060109098
"ACVR1B","s59",0,59,0.000731528525604995,-7.22037434222205
"ACVR1B","s60",0,60,0.000666541547567348,-7.31340808335312
"ACVR1B","s61",0,61,0.000607327833546948,-7.40644182448419
"ACVR1B","s62",0,62,0.000553374502680286,-7.49947556561527
"ACVR1B","s63",0,63,0.000504214237026208,-7.59250930674634
"ACVR1B","s64",0,64,0.000459421233881468,-7.68554304787741
"ACVR1B","s65",0,65,0.000418607517681417,-7.77857678900848
"ACVR1B","s66",0,66,0.000381419579541263,-7.87161053013956
"ACVR1B","s67",0,67,0.000347535315331229,-7.96464427127063
"ACVR1B","s68",0,68,0.000316661235764668,-8.0576780124017
"ACVR1B","s69",0,69,0.000288529924334272,-8.15071175353278
"ACVR1B","s70",0,70,0.000262897721078208,-8.24374549466385
"ACVR1B","s71",0,71,0.000239542612114102,-8.33677923579492
"ACVR1B","s72",0,72,0.000218262306660988,-8.42981297692599
"ACVR1B","s73",0,73,0.00019887248489335,-8.52284671805706
"ACVR1B","s74",0,74,0.000181205201450961,-8.61588045918814
"ACVR1B","s75",0,75,0.00016510743077652,-8.70891420031921
"ACVR1B","s76",0,76,0.000150439741681481,-8.80194794145028
"ACVR1B","s77",0,77,0.000137075089659801,-8.89498168258135
"ACVR1B","s78",0,78,0.000124897716489202,-8.98801542371243
"ACVR1B","s79",0,79,0.000113802147588832,-9.0810491648435
"ACVR1B","s80",0,80,0.000103692278448902,-9.17408290597457
"ACVR1B","s81",0,81,9.44805422193964e-05,-9.26711664710565
"ACVR1B","s82",0,82,8.6087151247911e-05,-9.36015038823672
"ACVR1B","s83",0,83,7.84394059971776e-05,-9.45318412936779
"ACVR1B","s84",0,84,7.14710653564502e-05,-9.54621787049886
"ACVR1B","s85",0,85,6.51217728926934e-05,-9.63925161162994
"ACVR1B","s86",0,86,5.93365340720335e-05,-9.73228535276101
"ACVR1B","s87",0,87,5.40652399234147e-05,-9.82531909389208
"ADM","s0",0,0,0.177039286132001,-1.73138361548877
"ADM","s1",0,1,0.161311603892753,-1.82441735661984
"ADM","s2",0,2,0.146981125596331,-1.91745109775091
"ADM","s3",0,3,0.133923727495309,-2.01048483888199
"ADM","s4",0,4,0.122026312653886,-2.10351858001306
"ADM","s5",0,5,0.111185831356325,-2.19655232114413
"ADM","s6",0,6,0.101308388539621,-2.2895860622752
"ADM","s7",0,7,0.09230843051938,-2.38261980340628
"ADM","s8",0,8,0.0841080039647334,-2.47565354453735
"ADM","s9",0,9,0.076636080703879,-2.56868728566842
"ADM","s10",0,10,0.0698279425120354,-2.66172102679949
"ADM","s11",0,11,0.0636246205531402,-2.75475476793057
"ADM","s12",0,12,0.0579723846200014,-2.84778850906164
"ADM","s13",0,13,0.0528222777489477,-2.94082225019271
"ADM","s14",0,14,0.048129692178029,-3.03385599132378
"ADM","s15",0,15,0.043853982975923,-3.12688973245486
"ADM","s16",0,16,0.0399581159949838,-3.21992347358593
"ADM","s17",0,17,0.0364083470991718,-3.312957214717
"ADM","s18",0,18,0.0331739298884908,-3.40599095584808
"ADM","s19",0,19,0.0302268493883793,-3.49902469697915
"ADM","s20",0,20,0.0275415793974034,-3.59205843811022
"ADM","s21",0,21,0.0250948613915117,-3.68509217924129
"ADM","s22",0,22,0.022865503069826,-3.77812592037237
"ADM","s23",0,23,0.0208341947970698,-3.87115966150344
"ADM","s24",0,24,0.0189833423527451,-3.96419340263451
"ADM","s25",0,25,0.0172969145384111,-4.05722714376558
"ADM","s26",0,26,0.0157603043231128,-4.15026088489666
"ADM","s27",0,27,0.0143602023242663,-4.24329462602773
"ADM","s28",0,28,0.0130844815281545,-4.3363283671588
"ADM","s29",0,29,0.0119220922515355,-4.42936210828987
"ADM","s30",0,30,0.0108629664345722,-4.52239584942095
"ADM","s31",0,31,0.00989793043611486,-4.61542959055202
"ADM","s32",0,32,0.0090186255760098,-4.70846333168309
"ADM","s33",0,33,0.00821743573621073,-4.80149707281416
"ADM","s34",0,34,0.00748742139360768,-4.89453081394524
"ADM","s35",0,35,0.00682225951319765,-4.98756455507631
"ADM","s36",0,36,0.00621618878098029,-5.08059829620738
"ADM","s37",0,37,0.00566395970221219,-5.17363203733845
"ADM","s38",0,38,0.00516078913279472,-5.26666577846953
"ADM","s39",0,39,0.0047023188499681,-5.3596995196006
