"Sample","C5orf32","GADD45A","MAFG","S100A8","MYL6","NSUN7"
"GSM1602801",0.178663481267297,-0.841770161705338,-0.863882274221127,0.274684434259064,-0.0386196462691477,0.130862354062355
"GSM1602802",-0.311712444617616,0.204379309254331,0.875694750061956,0.432585078241623,0.00990836016732185,1.23977448021242
"GSM1602803",0.571096761239043,0.448978474122456,0.436143372188482,0.902251162249943,0.483496190918288,-0.901368977761178
"GSM1602804",-0.32519082620191,-1.50682792059949,-1.05561483534544,0.189118037165344,-0.561561925869361,-0.242027230354701
"GSM1602805",-0.0291829826321913,0.844865662272156,-0.157982400552434,0.0585952092437929,-0.345751134155761,2.24688043530976
"GSM1602806",0.0182099703166825,0.681030727037297,-0.319256931776758,-0.43709306189922,-2.86829315418707,1.08508203310094
"GSM1602807",-2.11436963243637,-2.3930531690775,-2.66338188403542,-5.14738887242161,-3.71382162891251,-1.01791449200487
"GSM1602808",-1.4431652148139,-1.58285250513484,-1.81974831414916,0.226379365290066,-0.52292174518114,-0.320009702217362
"GSM1602809",-3.62786890986542,-2.27492514214634,-2.65417523373537,-2.22666115064888,-1.35247369366672,-1.89142983358901
"GSM1602810",-1.34274248015163,-1.36493700752159,-1.04429221011522,0.526909829464205,-0.379899788618316,-0.139667500517628
"GSM1602811",1.3414206536018,0.820138532184493,-0.358232285970306,0.510786236378388,0.502328558417288,1.78321641684029
"GSM1602812",0.59837157838845,1.00031297477696,1.0280610196192,0.50596975781977,0.367241155344256,1.55334661618066
"GSM1602813",0.598338358096929,0.648675184653522,0.635317490536362,0.337837955358841,0.518133778505584,-1.35711588354363
"GSM1602814",-0.0894919727999332,-0.296891364418239,-0.529564426440681,0.18264056227335,-0.376878394995961,0.567377048936877
"GSM1602815",-0.484307741759179,-0.0120364621984909,-0.641335063845007,0.24995212772443,0.454435690851448,1.00259600464296
"GSM1602816",-0.148019724884097,0.217428425287416,-1.1295831888734,-0.0413348102634065,-0.580041467098947,0.514466608473115
"GSM1602817",-0.127327629741358,0.992688613073039,0.485022277071356,0.448816717680177,0.356739340857709,-0.844547543389779
