"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","4/139","161/4898",0.0248447204968944,0.875463604271862,-0.274582046662634,0.677232573391669,0.978030941958195,0.969700912096573,"LDLR/MAP2K6/MAPK14/MMP9",4
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","1/139","40/4898",0.025,0.880935251798561,-0.129210866236079,0.685336885626465,0.978030941958195,0.969700912096573,"PDE4D",1
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","1/139","41/4898",0.024390243902439,0.859449026144938,-0.154438770485613,0.69434021475325,0.978030941958195,0.969700912096573,"PSMA6",1
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","2/139","86/4898",0.0232558139534884,0.819474652835871,-0.288628495032308,0.707377431625164,0.978030941958195,0.969700912096573,"HK3/PGD",2
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","2/139","86/4898",0.0232558139534884,0.819474652835871,-0.288628495032308,0.707377431625164,0.978030941958195,0.969700912096573,"FKBP5/MMP9",2
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","5/139","209/4898",0.0239234449760766,0.843000240955561,-0.396411835267934,0.715175020757263,0.978030941958195,0.969700912096573,"MAP2K6/MAPK14/NAIP/NLRC4/TXN",5
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","2/139","88/4898",0.0227272727272727,0.800850228907783,-0.322153763430962,0.71933981990467,0.978030941958195,0.969700912096573,"GADD45A/HGF",2
NA,NA,"hsa04156","Integrated stress response (ISR) signaling pathway","1/139","44/4898",0.0227272727272727,0.800850228907783,-0.22676230534883,0.71984401996686,0.978030941958195,0.969700912096573,"GRB10",1
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","2/139","89/4898",0.0224719101123595,0.791851911729044,-0.338652776819273,0.725166521780935,0.978030941958195,0.969700912096573,"CPEB4/MAPK14",2
"Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","1/139","45/4898",0.0222222222222222,0.783053557154277,-0.249843608959787,0.727866616016429,0.978030941958195,0.969700912096573,"GK",1
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","1/139","45/4898",0.0222222222222222,0.783053557154277,-0.249843608959787,0.727866616016429,0.978030941958195,0.969700912096573,"ITGA7",1
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","3/139","132/4898",0.0227272727272727,0.800850228907783,-0.396373268504721,0.730349853451594,0.978030941958195,0.969700912096573,"HGF/ITGA7/PDGFC",3
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","2/139","90/4898",0.0222222222222222,0.783053557154277,-0.354981858314286,0.730891557352888,0.978030941958195,0.969700912096573,"IL1R1/MAPK14",2
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","1/139","46/4898",0.0217391304347826,0.766030653737879,-0.272453305366066,0.735661081372645,0.978030941958195,0.969700912096573,"ATP6V1C1",1
"Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","1/139","47/4898",0.0212765957446809,0.749732129190265,-0.294613735170977,0.743233857483363,0.978030941958195,0.969700912096573,"MAPK14",1
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","1/139","47/4898",0.0212765957446809,0.749732129190265,-0.294613735170977,0.743233857483363,0.978030941958195,0.969700912096573,"KCNMA1",1
"Cellular Processes","Cell motility","hsa04814","Motor proteins","2/139","94/4898",0.0212765957446809,0.749732129190265,-0.418679913700461,0.752795968430184,0.978030941958195,0.969700912096573,"KIF1B/MYL6",2
"Human Diseases","Infectious disease: bacterial","hsa05130","Pathogenic Escherichia coli infection","3/139","138/4898",0.0217391304347826,0.766030653737879,-0.476441549245274,0.757721333404567,0.978030941958195,0.969700912096573,"IL1R1/MAPK14/NAIP",3
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","1/139","49/4898",0.0204081632653061,0.719130817794744,-0.33766856907221,0.757739209841764,0.978030941958195,0.969700912096573,"CD55",1
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","2/139","95/4898",0.0210526315789474,0.741840212040894,-0.434218881931194,0.758028556758381,0.978030941958195,0.969700912096573,"OSM/SOCS3",2
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","2/139","96/4898",0.0208333333333333,0.734112709832134,-0.44961078083267,0.763165969608151,0.978030941958195,0.969700912096573,"CDKN2C/LDLR",2
"Environmental Information Processing","Signal transduction","hsa04014","Ras signaling pathway","3/139","141/4898",0.0212765957446809,0.749732129190265,-0.51530300985932,0.770552935458944,0.978030941958195,0.969700912096573,"ETS2/HGF/PDGFC",3
"Cellular Processes","Cellular community - eukaryotes","hsa04540","Gap junction","1/139","51/4898",0.0196078431372549,0.690929609253773,-0.379158310251886,0.771430682407907,0.978030941958195,0.969700912096573,"PDGFC",1
"Organismal Systems","Endocrine system","hsa04920","Adipocytokine signaling pathway","1/139","51/4898",0.0196078431372549,0.690929609253773,-0.379158310251886,0.771430682407907,0.978030941958195,0.969700912096573,"SOCS3",1
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","1/139","51/4898",0.0196078431372549,0.690929609253773,-0.379158310251886,0.771430682407907,0.978030941958195,0.969700912096573,"ITGA7",1
"Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","2/139","98/4898",0.0204081632653061,0.719130817794744,-0.479966701645775,0.773159846802323,0.978030941958195,0.969700912096573,"FCER1G/PDGFC",2
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","1/139","52/4898",0.0192307692307692,0.677642501383509,-0.39935795869542,0.77798548644036,0.978030941958195,0.969700912096573,"ARG1",1
"Human Diseases","Cancer: specific types","hsa05213","Endometrial cancer","1/139","52/4898",0.0192307692307692,0.677642501383509,-0.39935795869542,0.77798548644036,0.978030941958195,0.969700912096573,"GADD45A",1
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","2/139","99/4898",0.0202020202020202,0.711866870140252,-0.494937110884891,0.77801862914192,0.978030941958195,0.969700912096573,"KCNE1/MAPK14",2
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","3/139","144/4898",0.0208333333333333,0.734112709832134,-0.553431449588566,0.7828302934341,0.978030941958195,0.969700912096573,"ITGA7/ITGAM/PDGFC",3
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","1/139","53/4898",0.0188679245283019,0.664856793810235,-0.419214276144044,0.78435362869888,0.978030941958195,0.969700912096573,"ITGA7",1
"Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","1/139","54/4898",0.0185185185185185,0.652544630961897,-0.438741220856193,0.790540387338892,0.978030941958195,0.969700912096573,"ALOX5",1
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","3/139","146/4898",0.0205479452054795,0.724056371341283,-0.578459799361694,0.790713532297722,0.978030941958195,0.969700912096573,"CKAP4/SAR1B/UBE2J1",3
"Human Diseases","Neurodegenerative disease","hsa05017","Spinocerebellar ataxia","2/139","102/4898",0.0196078431372549,0.690929609253773,-0.539054281239342,0.792056451450283,0.978030941958195,0.969700912096573,"PSMA6/WIPI1",2
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","6/139","273/4898",0.021978021978022,0.774448573009724,-0.655368606278257,0.796328823911641,0.978030941958195,0.969700912096573,"COX7B/NDUFA4/NDUFB1/NDUFB3/PSMA6/WIPI1",6
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","2/139","103/4898",0.0194174757281553,0.684221554794999,-0.553504796142405,0.796560174259619,0.978030941958195,0.969700912096573,"KCNMA1/MEF2A",2
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","1/139","58/4898",0.0172413793103448,0.607541552964525,-0.513806503100168,0.813574048145736,0.978030941958195,0.969700912096573,"ATP6V1C1",1
"Human Diseases","Cancer: specific types","hsa05211","Renal cell carcinoma","1/139","59/4898",0.0169491525423729,0.597244238507499,-0.531868850720731,0.818928016597749,0.978030941958195,0.969700912096573,"HGF",1
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","1/139","61/4898",0.0163934426229508,0.577662460195778,-0.567219508606481,0.829182219128799,0.978030941958195,0.969700912096573,"LDLR",1
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","2/139","111/4898",0.018018018018018,0.634908289584549,-0.664884712689411,0.829602463773266,0.978030941958195,0.969700912096573,"LDLR/SOCS3",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","4/139","202/4898",0.0198019801980198,0.697770496474108,-0.749657858677754,0.833037238769408,0.978030941958195,0.969700912096573,"FOLR3/LDLR/SH3GLB1/SNX3",4
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","4/139","202/4898",0.0198019801980198,0.697770496474108,-0.749657858677754,0.833037238769408,0.978030941958195,0.969700912096573,"HGF/ITGA7/OSM/PDGFC",4
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","1/139","62/4898",0.0161290322580645,0.568345323741007,-0.584525885548796,0.834090979009116,0.978030941958195,0.969700912096573,"EXOSC4",1
"Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","2/139","113/4898",0.0176991150442478,0.623670974724645,-0.691640738807115,0.837077083769588,0.978030941958195,0.969700912096573,"DAAM2/ITGA7",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","1/139","63/4898",0.0158730158730159,0.559323969395912,-0.601597557190063,0.838859662614934,0.978030941958195,0.969700912096573,"ITPKC",1
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","2/139","114/4898",0.0175438596491228,0.618200176700745,-0.704866974756542,0.84070304196719,0.978030941958195,0.969700912096573,"BCL2A1/GADD45A",2
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/139","64/4898",0.015625,0.550584532374101,-0.618442431848029,0.843492239015456,0.978030941958195,0.969700912096573,"GADD45A",1
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","2/139","116/4898",0.0172413793103448,0.607541552964525,-0.731025437665664,0.847738121902637,0.978030941958195,0.969700912096573,"CYP1B1/KLF5",2
"Human Diseases","Cancer: specific types","hsa05225","Hepatocellular carcinoma","2/139","117/4898",0.0170940170940171,0.602348890118674,-0.743961322386453,0.851149570338905,0.978030941958195,0.969700912096573,"GADD45A/HGF",2
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","1/139","66/4898",0.0151515151515152,0.533900152605189,-0.651481466695795,0.852364391266629,0.978030941958195,0.969700912096573,"MAPK14",1
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","1/139","68/4898",0.0147058823529412,0.51819720694033,-0.68369877857102,0.860737010538205,0.978030941958195,0.969700912096573,"GADD45A",1
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","1/139","68/4898",0.0147058823529412,0.51819720694033,-0.68369877857102,0.860737010538205,0.978030941958195,0.969700912096573,"GADD45A",1
NA,NA,"hsa04082","Neuroactive ligand signaling","1/139","69/4898",0.0144927536231884,0.51068710249192,-0.699515280157423,0.864744786011329,0.978030941958195,0.969700912096573,"P2RX1",1
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","1/139","70/4898",0.0142857142857143,0.503391572456321,-0.715144946973733,0.86863802990125,0.978030941958195,0.969700912096573,"GADD45A",1
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","3/139","171/4898",0.0175438596491228,0.618200176700745,-0.868471511505847,0.870703895813562,0.978030941958195,0.969700912096573,"IL1R1/MAP2K6/MAPK14",3
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","2/139","124/4898",0.0161290322580645,0.568345323741007,-0.831994940175285,0.87315584090939,0.978030941958195,0.969700912096573,"CYP1B1/MMP9",2
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","2/139","125/4898",0.016,0.563798561151079,-0.844230392605568,0.876045290576017,0.978030941958195,0.969700912096573,"SOCS3/UBE2J1",2
"Organismal Systems","Endocrine system","hsa04922","Glucagon signaling pathway","1/139","72/4898",0.0138888888888889,0.489408473221423,-0.745865969345049,0.876093831220813,0.978030941958195,0.969700912096573,"LDHA",1
"Environmental Information Processing","Signal transduction","hsa04070","Phosphatidylinositol signaling system","1/139","73/4898",0.0136986301369863,0.482704247560855,-0.760967805538983,0.879662616438448,0.978030941958195,0.969700912096573,"ITPKC",1
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","1/139","74/4898",0.0135135135135135,0.476181217188411,-0.775903796900885,0.883129330700636,0.978030941958195,0.969700912096573,"ACVR1B",1
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","1/139","75/4898",0.0133333333333333,0.469832134292566,-0.79067863056263,0.886496872788656,0.978030941958195,0.969700912096573,"MAPK14",1
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagosome formation","1/139","75/4898",0.0133333333333333,0.469832134292566,-0.79067863056263,0.886496872788656,0.978030941958195,0.969700912096573,"FCGR1A",1
NA,NA,"hsa04517","IgSF CAM signaling","3/139","180/4898",0.0166666666666667,0.587290167865707,-0.964088049136497,0.892149116610395,0.978030941958195,0.969700912096573,"ITGAM/MAPK14/MYL6",3
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","1/139","77/4898",0.012987012987013,0.457628702233019,-0.819762589804861,0.892945629153464,0.978030941958195,0.969700912096573,"MAPK14",1
"Human Diseases","Cancer: specific types","hsa05210","Colorectal cancer","1/139","77/4898",0.012987012987013,0.457628702233019,-0.819762589804861,0.892945629153464,0.978030941958195,0.969700912096573,"GADD45A",1
"Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","1/139","85/4898",0.0117647058823529,0.414557765552264,-0.930465299816634,0.915299950590084,0.978030941958195,0.969700912096573,"RABGEF1",1
"Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","1/139","85/4898",0.0117647058823529,0.414557765552264,-0.930465299816634,0.915299950590084,0.978030941958195,0.969700912096573,"MAPK14",1
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","1/139","87/4898",0.0114942528735632,0.40502770197635,-0.956870780611478,0.920122093797998,0.978030941958195,0.969700912096573,"FCER1G",1
"Human Diseases","Infectious disease: viral","hsa05167","Kaposi sarcoma-associated herpesvirus infection","2/139","146/4898",0.0136986301369863,0.482704247560855,-1.08440553101769,0.9243453430127,0.978030941958195,0.969700912096573,"MAP2K6/MAPK14",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","1/139","89/4898",0.0112359550561798,0.395925955864522,-0.98281638880405,0.924671565733995,0.978030941958195,0.969700912096573,"ITGAM",1
"Human Diseases","Cancer: specific types","hsa05224","Breast cancer","1/139","91/4898",0.010989010989011,0.387224286504862,-1.00832324499536,0.928963679344822,0.978030941958195,0.969700912096573,"GADD45A",1
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","1/139","92/4898",0.0108695652173913,0.38301532686894,-1.02091834032658,0.931017777237701,0.978030941958195,0.969700912096573,"GCLM",1
"Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","1/139","93/4898",0.010752688172043,0.378896882494005,-1.03341101688828,0.933012893543144,0.978030941958195,0.969700912096573,"MEF2A",1
"Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","1/139","93/4898",0.010752688172043,0.378896882494005,-1.03341101688828,0.933012893543144,0.978030941958195,0.969700912096573,"PFKFB2",1
"Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","1/139","102/4898",0.00980392156862745,0.345464804626887,-1.14158460289847,0.94857713691099,0.978030941958195,0.969700912096573,"MYL6",1
"Cellular Processes","Cellular community - eukaryotes","hsa04530","Tight junction","1/139","103/4898",0.00970873786407767,0.342110777397499,-1.15316559939511,0.950067499289925,0.978030941958195,0.969700912096573,"MYL6",1
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","1/139","105/4898",0.00952380952380952,0.335594381637547,-1.17608532529954,0.952920772011681,0.978030941958195,0.969700912096573,"MAPK14",1
"Environmental Information Processing","Signal transduction","hsa04310","Wnt signaling pathway","1/139","106/4898",0.00943396226415094,0.332428396905117,-1.18742717069834,0.954286099090833,0.978030941958195,0.969700912096573,"DAAM2",1
NA,NA,"hsa04519","Cadherin signaling","2/139","167/4898",0.0119760479041916,0.422004911041227,-1.29873489544413,0.954576149364544,0.978030941958195,0.969700912096573,"DAAM2/MAPK14",2
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","2/139","167/4898",0.0119760479041916,0.422004911041227,-1.29873489544413,0.954576149364544,0.978030941958195,0.969700912096573,"MAP2K6/MAPK14",2
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease","2/139","168/4898",0.0119047619047619,0.419492977046934,-1.30841691029675,0.95568227087609,0.978030941958195,0.969700912096573,"C3AR1/MAPK14",2
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","3/139","224/4898",0.0133928571428571,0.471929599177801,-1.382566660982,0.95773984357732,0.978030941958195,0.969700912096573,"ATP6V1C1/CCNA1/ITGA7",3
"Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","1/139","120/4898",0.00833333333333333,0.293645083932854,-1.3387673806933,0.969742792440417,0.984982312828685,0.976593077143968,"PDE4D",1
"Human Diseases","Infectious disease: viral","hsa05164","Influenza A","1/139","125/4898",0.008,0.28189928057554,-1.3898222204169,0.973896861509307,0.984982312828685,0.976593077143968,"SOCS3",1
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","1/139","129/4898",0.00775193798449612,0.273158217611957,-1.4296695861339,0.976808185751268,0.984982312828685,0.976593077143968,"SOCS3",1
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","1/139","137/4898",0.0072992700729927,0.257207372787901,-1.50693103418312,0.981698468215825,0.985788878500058,0.977392773179791,"CCNA1",1
"Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","4/139","349/4898",0.0114613180515759,0.403867164148337,-1.97475121112423,0.991514011003899,0.991514011003899,0.983069143908649,"CCNA1/GADD45A/HGF/MMP9",4
