"Sample","ME","Group"
"GSM1602925",0.0215580334337697,"Disease"
"GSM1602926",-0.0468338200819415,"Disease"
"GSM1602927",0.0789000808258802,"Disease"
"GSM1602928",0.0510166313827531,"Disease"
"GSM1602929",0.0388990995618515,"Disease"
"GSM1602930",-0.023072128998046,"Disease"
"GSM1602931",-0.0417497259776145,"Disease"
"GSM1602932",0.0975659765323423,"Disease"
"GSM1602933",0.00749532650707628,"Disease"
"GSM1602934",0.0276390355893297,"Disease"
"GSM1602935",-0.050551626453287,"Disease"
"GSM1602936",0.0373040524909,"Disease"
"GSM1602937",-0.0416553684087607,"Disease"
"GSM1602938",-0.0129488472430407,"Disease"
"GSM1602939",-0.0332376022743874,"Disease"
"GSM1602940",-0.0143264008512672,"Disease"
"GSM1602941",-0.0315698401646524,"Disease"
"GSM1602942",0.0355465133333628,"Disease"
"GSM1602943",-0.0255177147491178,"Disease"
"GSM1602944",-0.0393195294898132,"Disease"
"GSM1602945",-0.028271300556435,"Disease"
"GSM1602946",0.0532629482029268,"Disease"
"GSM1602947",0.0211029627159358,"Disease"
"GSM1602949",-0.00282088993362333,"Disease"
"GSM1602950",-0.0208738493395786,"Disease"
"GSM1602951",0.0376495639701227,"Disease"
"GSM1602952",-0.0155158624372879,"Disease"
"GSM1602953",-0.0436807586275426,"Disease"
"GSM1602954",-0.032630627324248,"Normal"
"GSM1602955",-0.0354583035859556,"Disease"
"GSM1602956",-0.0367245919425161,"Normal"
"GSM1602957",-0.0433397078058549,"Normal"
"GSM1602958",0.0255686414787631,"Disease"
"GSM1602959",-0.0320769582225329,"Disease"
"GSM1602960",-0.0434886912784571,"Normal"
"GSM1602961",-0.0461389572742898,"Normal"
"GSM1602962",-0.0435278383640474,"Normal"
"GSM1602964",-0.0448678643009776,"Normal"
"GSM1602965",-0.0258201700335843,"Disease"
"GSM1602966",-0.0293023989272858,"Normal"
"GSM1602967",-0.0496519272138346,"Disease"
"GSM1602968",-0.00332347700106349,"Disease"
"GSM1602970",-0.023679436819109,"Disease"
"GSM1602971",-0.0234839791920935,"Disease"
"GSM1602972",-0.0389714597735582,"Disease"
"GSM1602973",-0.0618658516919007,"Disease"
"GSM1602974",-0.0379788695725767,"Disease"
"GSM1602975",0.0214984481646528,"Disease"
"GSM1602976",0.030348945912679,"Disease"
"GSM1691861",0.0644867646426986,"Disease"
"GSM1691862",0.00969724961593796,"Disease"
"GSM1691863",0.0430181843602715,"Disease"
"GSM1691864",-0.0235342008996737,"Disease"
"GSM1691865",0.0523297067554104,"Disease"
"GSM1691866",-0.00989474359986038,"Disease"
"GSM1691867",-0.0374743901355043,"Disease"
"GSM1691868",-0.0477511184500272,"Disease"
"GSM1691869",-0.03471200177872,"Disease"
"GSM1691870",-0.026393646260648,"Disease"
"GSM1691871",0.0805296091178317,"Disease"
"GSM1691873",-0.0206832358737272,"Disease"
"GSM1691874",-0.0147172545366982,"Disease"
"GSM1691875",-0.00183406547679987,"Disease"
"GSM1691876",-0.0127761947291827,"Disease"
"GSM1691877",0.0148532331713606,"Disease"
"GSM1691878",0.0115400868392925,"Disease"
"GSM1691879",-0.0300347840928381,"Disease"
"GSM1691880",-0.0301175043891126,"Disease"
"GSM1691881",-0.0169944354206896,"Disease"
"GSM1691882",0.059338870594596,"Disease"
"GSM1691883",-0.032731870746217,"Disease"
"GSM1691884",-0.0195399149963524,"Disease"
"GSM1691885",0.00632120898562076,"Disease"
"GSM1691886",0.0344166782700854,"Disease"
"GSM1691887",-0.0212158936568748,"Disease"
"GSM1691888",-0.00997898073463288,"Disease"
"GSM1691889",0.0171706448140302,"Disease"
"GSM1691890",0.00353193538957029,"Disease"
"GSM1691891",-0.0175454087465939,"Disease"
"GSM1691892",-0.0108906140295047,"Disease"
"GSM1691894",-0.022103644576594,"Disease"
"GSM1691895",0.0119967585306762,"Disease"
"GSM1691896",-0.00974692694782587,"Disease"
"GSM1691897",-0.0215089631610183,"Disease"
"GSM1691898",0.0100002749558999,"Disease"
"GSM1691899",-0.04804789534394,"Disease"
"GSM1691900",-0.0150715730562657,"Disease"
"GSM1691901",0.0217618803608455,"Disease"
"GSM1691902",-0.0262066654843118,"Disease"
"GSM1691903",-0.0507124571067086,"Disease"
"GSM1691904",0.00349237571829744,"Disease"
"GSM1691905",-0.0125748121764555,"Disease"
"GSM1691906",-0.0183522830640576,"Disease"
"GSM1691907",-0.0146368503202256,"Disease"
"GSM1691908",-0.0108758566169136,"Disease"
"GSM1691909",0.0193385616407251,"Disease"
"GSM1691910",-0.0226185825997541,"Disease"
"GSM1691911",0.0322734179595125,"Disease"
"GSM1691912",0.00115358616027219,"Disease"
"GSM1691913",-0.026902551252175,"Disease"
"GSM1691914",-0.0140537426068169,"Disease"
"GSM1691915",0.0131451627215413,"Disease"
"GSM1691916",-0.00775828984512213,"Disease"
"GSM1691917",-0.0122980334085604,"Disease"
"GSM1691918",0.0504926819959178,"Disease"
"GSM1691919",-0.00242589817778351,"Disease"
"GSM1691920",-0.00892281884782725,"Disease"
"GSM1691921",-0.0112729515513671,"Disease"
"GSM1691922",-0.0157940069940285,"Disease"
"GSM1691923",-0.0146277582459213,"Disease"
"GSM1691924",-0.023101006259659,"Disease"
"GSM1691925",0.0623751750619584,"Disease"
"GSM1691926",-0.0316463075566879,"Disease"
"GSM1691927",0.071091683448626,"Disease"
"GSM1691928",-0.00464742205350202,"Disease"
"GSM1691929",-0.0254508666277747,"Disease"
"GSM1691930",-0.0375130613550088,"Disease"
"GSM1691932",-0.00230768040422236,"Disease"
"GSM1691933",0.123795562808994,"Disease"
"GSM1691934",-0.00272533785353761,"Disease"
"GSM1691935",0.0233300795098407,"Disease"
"GSM1691936",0.0163400660762684,"Disease"
"GSM1691937",-0.0069411119077114,"Disease"
"GSM1691938",-0.00466861861694484,"Disease"
"GSM1691939",-0.0223572045102545,"Disease"
"GSM1691940",0.0237395926310889,"Disease"
"GSM1691941",0.0957519096621794,"Disease"
"GSM1691942",-0.0479116541873664,"Disease"
"GSM1691943",-0.0387803744204108,"Disease"
"GSM1691944",-0.0398729842711741,"Disease"
"GSM1691945",-0.023041832194541,"Disease"
"GSM1691946",-0.00361562361620748,"Disease"
"GSM1691947",0.0211586148987928,"Disease"
