"tf","n_control","n_sepsis","effect","ci_low","ci_high","permutation_p","fdr"
"CEBPB",2,5,0.418653167311659,-0.0899840745554276,1.082343617329,0.571428571428571,0.8
"FOS",2,5,-1.20158648206982,-1.556518447766,-0.690968012540305,0.0476190476190476,0.285714285714286
"JUN",2,5,-0.268318098244011,-0.683150337980399,0.124969881888673,0.666666666666667,0.8
"NFKB1",2,5,0.149658185765035,-0.959149826198114,1.53785860249766,0.904761904761905,0.904761904761905
"RELA",2,5,-0.726393754555699,-1.68142982851423,0.610628246441747,0.523809523809524,0.8
"STAT3",2,5,-0.26142143423717,-0.643878058360388,0.0821202252860589,0.380952380952381,0.8
