mode,eigenvalue_nm2,variance_fraction,variance_percent,cumulative_variance_percent
1,6.05576,0.3657762054862877,36.57762054862877,36.57762054862877
2,2.50322,0.1511979195175147,15.119791951751472,51.697412500380246
3,2.23559,0.135032700639241,13.5032700639241,65.20068256430434
4,1.43253,0.0865267757713766,8.652677577137664,73.85336014144201
5,0.932181,0.0563050102722718,5.630501027227189,79.48386116866921
6,0.529434,0.0319785393700257,3.1978539370025767,82.68171510567178
7,0.384894,0.0232481252286152,2.3248125228615275,85.00652762853332
8,0.252426,0.0152468764360017,1.5246876436001702,86.5312152721335
9,0.214675,0.0129666642853694,1.2966664285369438,87.82788170067043
10,0.183084,0.0110585245791199,1.1058524579119962,88.93373415858242
11,0.157381,0.0095060281443844,0.950602814438443,89.88433697302087
12,0.132708,0.0080157451216154,0.8015745121615498,90.68591148518242
13,0.105008,0.0063426271493097,0.6342627149309765,91.3201742001134
14,0.094321,0.0056971176991281,0.5697117699128127,91.8898859700262
15,0.0781871,0.0047226080221106,0.4722608022110672,92.36214677223728
16,0.0731976,0.0044212353822976,0.4421235382297696,92.80427031046705
17,0.0562806,0.0033994253917743,0.3399425391774371,93.14421284964448
18,0.0517133,0.0031235542107306,0.3123554210730617,93.45656827071754
19,0.0459306,0.0027742712035662,0.2774271203566272,93.73399539107416
20,0.0410186,0.0024775796699935,0.2477579669993501,93.98175335807352
21,0.0382584,0.0023108598061971,0.2310859806197172,94.21283933869324
22,0.033372,0.0020157145477179,0.201571454771794,94.41441079346504
23,0.0315821,0.0019076021340489,0.1907602134048986,94.60517100686994
24,0.0309582,0.001869917718781,0.186991771878106,94.79216277874804
25,0.0277339,0.0016751655787772,0.1675165578777256,94.95967933662575
26,0.02636,0.0015921801353783,0.1592180135378308,95.1188973501636
27,0.0242519,0.0014648480055076,0.1464848005507632,95.26538215071436
28,0.0228431,0.0013797545542663,0.1379754554266321,95.403357606141
29,0.0214415,0.001295095992895,0.1295095992895068,95.5328672054305
30,0.0206533,0.0012474876323979,0.1247487632397906,95.6576159686703
31,0.0198142,0.0011968048421249,0.1196804842124919,95.7772964528828
32,0.0196977,0.0011897680824219,0.11897680824219,95.89627326112496
33,0.0179441,0.0010838482385144,0.1083848238514488,96.00465808497644
34,0.0166776,0.0010073499023439,0.1007349902343902,96.1053930752108
35,0.0164775,0.0009952635880385,0.0995263588038546,96.20491943401468
36,0.0155646,0.0009401231765974,0.0940123176597466,96.29893175167442
37,0.0153517,0.0009272637247453,0.092726372474534,96.39165812414896
38,0.0146229,0.0008832432056761,0.0883243205676155,96.47998244471655
39,0.0143041,0.0008639872486519,0.0863987248651929,96.56638116958176
40,0.0136189,0.0008226002293514,0.0822600229351428,96.64864119251688
41,0.0131732,0.0007956793383674,0.0795679338367433,96.72820912635363
42,0.0124918,0.0007545218442761,0.0754521844276128,96.80366131078124
43,0.0120941,0.0007305002190925,0.0730500219092519,96.8767113326905
44,0.011811,0.0007134005910073,0.0713400591007329,96.94805139179124
45,0.0111054,0.0006707813837416,0.0670781383741664,97.0151295301654
46,0.0109832,0.0006634003362248,0.0663400336224849,97.08146956378788
47,0.0104486,0.000631109763373,0.0631109763373057,97.1445805401252
48,0.00991917,0.0005991314656085,0.0599131465608515,97.20449368668604
49,0.00975945,0.0005894841586577,0.0589484158657732,97.26344210255182
50,0.00948129,0.0005726829133444,0.0572682913344499,97.32071039388627
51,0.0091649,0.000553572523624,0.0553572523624,97.37606764624869
52,0.00893869,0.0005399091295259,0.0539909129525976,97.43005855920126
53,0.00846772,0.0005114618959008,0.0511461895900819,97.48120474879134
54,0.00807918,0.0004879935472741,0.0487993547274116,97.53000410351876
55,0.00799176,0.0004827132594351,0.0482713259435165,97.57827542946228
56,0.00758469,0.0004581256734067,0.0458125673406771,97.62408799680294
57,0.00749333,0.0004526074041667,0.0452607404166704,97.66934873721962
58,0.00728407,0.0004399678133044,0.0439967813304441,97.71334551855008
59,0.00705212,0.0004259577153377,0.0425957715337787,97.75594129008384
60,0.00692317,0.0004181689585677,0.0418168958567793,97.79775818594064
61,0.00655643,0.0003960173598254,0.0396017359825432,97.83735992192317
62,0.00635271,0.0003837123925576,0.038371239255763,97.87573116117892
63,0.00608481,0.0003675308653092,0.0367530865309229,97.91248424770988
64,0.00594116,0.0003588542083878,0.0358854208387867,97.94836966854864
65,0.0057373,0.0003465407849281,0.0346540784928147,97.98302374704149
66,0.00555763,0.000335688470629,0.033568847062908,98.01659259410437
67,0.00553652,0.0003344133976906,0.0334413397690618,98.05003393387342
68,0.00546192,0.0003299074554258,0.0329907455425853,98.083024679416
69,0.00524487,0.0003167973378847,0.0316797337884735,98.11470441320448
70,0.00519359,0.0003136999555879,0.031369995558799,98.14607440876328
71,0.00516106,0.0003117350989945,0.031173509899452,98.17724791866272
72,0.00506124,0.0003057058341571,0.0305705834157136,98.20781850207844
73,0.00490482,0.0002962578517301,0.029625785173013,98.23744428725144
74,0.0047481,0.0002867917488918,0.0286791748891872,98.26612346214064
75,0.00467197,0.0002821933925297,0.0282193392529719,98.29434280139364
76,0.00449461,0.0002714806053972,0.0271480605397295,98.32149086193334
77,0.00436931,0.0002639123136308,0.0263912313630872,98.34788209329643
78,0.00424199,0.0002562220110953,0.025622201109535,98.37350429440596
79,0.00409344,0.0002472493874568,0.0247249387456865,98.39822923315164
80,0.00406008,0.0002452343977255,0.0245234397725597,98.42275267292422
81,0.00403291,0.0002435932924798,0.0243593292479838,98.4471120021722
82,0.0038888,0.0002348888509278,0.0234888850927889,98.470600887265
83,0.00385997,0.0002331474794065,0.0233147479406532,98.49391563520564
84,0.00379027,0.0002289375038588,0.022893750385889,98.51680938559151
85,0.00363486,0.0002195505268164,0.0219550526816433,98.53876443827318
86,0.00356211,0.0002151563270877,0.0215156327087724,98.56028007098196
87,0.00348456,0.0002104722007789,0.0210472200778977,98.58132729105984
88,0.00343949,0.0002077499109951,0.0207749910995156,98.60210228215936
89,0.00335517,0.0002026568674058,0.0202656867405813,98.62236796889994
90,0.00332529,0.000200852074445,0.0200852074445073,98.64245317634445
91,0.00326785,0.0001973826197039,0.0197382619703945,98.66219143831484
92,0.00319493,0.0001929781517421,0.0192978151742193,98.68148925348906
93,0.0031293,0.0001890140097738,0.0189014009773874,98.70039065446645
94,0.00309764,0.000187101702373,0.0187101702373037,98.71910082470376
95,0.00307116,0.0001855022740731,0.0185502274073158,98.73765105211108
96,0.00302225,0.0001825480430253,0.0182548043025307,98.7559058564136
97,0.00297182,0.0001795020018937,0.0179502001893777,98.77385605660298
98,0.00286851,0.0001732619362721,0.0173261936272155,98.7911822502302
99,0.00280397,0.000169363631798,0.0169363631798054,98.80811861341002
100,0.00275421,0.0001663580595849,0.0166358059584988,98.8247544193685
101,0.00272174,0.0001643968270737,0.0164396827073769,98.84119410207587
102,0.00268131,0.0001619547996506,0.0161954799650652,98.85738958204097
103,0.00266793,0.0001611466293087,0.0161146629308795,98.87350424497184
104,0.00264941,0.0001600279959208,0.0160027995920813,98.88950704456391
105,0.00251499,0.0001519088436523,0.0151908843652317,98.90469792892917
106,0.00245395,0.0001482219439761,0.014822194397616,98.91952012332676
107,0.0024324,0.0001469202944345,0.0146920294434529,98.9342121527702
108,0.00240266,0.0001451239576657,0.0145123957665707,98.9487245485368
109,0.00237885,0.0001436858010259,0.0143685801025974,98.9630931286394
110,0.00230965,0.0001395060261637,0.0139506026163752,98.97704373125576
111,0.00229049,0.0001383487358984,0.0138348735898431,98.9908786048456
112,0.00225219,0.0001360353633952,0.0136035363395207,99.00448214118514
113,0.00221094,0.000133543806848,0.0133543806848001,99.01783652186994
114,0.00216932,0.0001310299017935,0.0131029901793583,99.0309395120493
115,0.00215256,0.0001300175748182,0.0130017574818282,99.04394126953112
116,0.00211213,0.0001275755473951,0.0127575547395166,99.05669882427064
117,0.00206207,0.0001245518547708,0.0124551854770847,99.06915400974772
118,0.00204197,0.0001233377872169,0.0123337787216936,99.08148778846945
119,0.00202437,0.0001222747230901,0.0122274723090128,99.09371526077844
120,0.00196513,0.0001186965458814,0.0118696545881486,99.1055849153666
121,0.00193589,0.000116930409798,0.0116930409798084,99.1172779563464
122,0.00191124,0.0001154415160068,0.0115441516006845,99.12882210794707
123,0.0019003,0.0001147807250098,0.011478072500984,99.14030018044808
124,0.00186114,0.0001124154073276,0.0112415407327692,99.15154172118082
125,0.00182748,0.0001103822971851,0.0110382297185172,99.16257995089934
126,0.00179259,0.0001082748933565,0.0108274893356517,99.173407440235
127,0.00177819,0.0001074051136164,0.0107405113616401,99.18414795159664
128,0.00174399,0.0001053393867336,0.0105339386733627,99.19468189027
129,0.00169518,0.0001023911958228,0.010239119582286,99.20492100985228
130,0.00167967,0.0001014543705611,0.010145437056111,99.2150664469084
131,0.0016372,9.888912434147824e-05,0.0098889124341478,99.22495535934254
132,0.00161387,9.747996035974926e-05,0.0097479960359749,99.23470335537851
133,0.00159308,9.622421585995734e-05,0.0096224215859957,99.24432577696452
134,0.00157812,9.532061135217056e-05,0.009532061135217,99.25385783809976
135,0.001561,9.428653988336645e-05,0.0094286539883366,99.26328649208808
136,0.00152661,9.2209336740132e-05,0.0092209336740132,99.2725074257621
137,0.0015125,9.135707339756035e-05,0.009135707339756,99.28164313310188
138,0.0014874,8.984099898944219e-05,0.0089840998989442,99.2906272330008
139,0.0014451,8.728602100285255e-05,0.0087286021002852,99.29935583510108
140,0.00141785,8.564008364742544e-05,0.0085640083647425,99.30791984346584
141,0.00139148,8.404729949833872e-05,0.0084047299498338,99.31632457341566
142,0.00137989,8.334724761028732e-05,0.0083347247610287,99.32465929817668
143,0.00135649,8.193385553259945e-05,0.0081933855532599,99.33285268372994
144,0.00132715,8.016167931211389e-05,0.0080161679312113,99.34086885166116
145,0.00131583,7.947793579418967e-05,0.0079477935794189,99.34881664524056
146,0.00129835,7.842211983188265e-05,0.0078422119831882,99.35665885722376
147,0.00128362,7.75324076393894e-05,0.0077532407639389,99.36441209798772
148,0.00127276,7.687644875205219e-05,0.0076876448752052,99.37209974286291
149,0.00125253,7.565452901993144e-05,0.0075654529019931,99.37966519576491
150,0.00124259,7.50541393937683e-05,0.0075054139393768,99.38717060970428
151,0.00122914,7.424174095595197e-05,0.0074241740955951,99.39459478379987
152,0.00122448,7.396027056783123e-05,0.0073960270567831,99.40199081085666
153,0.00118796,7.175441250470467e-05,0.0071754412504704,99.40916625210714
154,0.00118399,7.151461906246446e-05,0.0071514619062464,99.4163177140134
155,0.0011662,7.044007867519664e-05,0.0070440078675196,99.42336172188092
156,0.00114768,6.932144528721461e-05,0.0069321445287214,99.43029386640964
157,0.00112577,6.799805125208035e-05,0.006799805125208,99.43709367153484
158,0.00110544,6.677009138287547e-05,0.0066770091382875,99.44377068067314
159,0.00109834,6.63412416499018e-05,0.0066341241649901,99.45040480483812
160,0.00108226,6.536998760677269e-05,0.0065369987606772,99.4569418035988
161,0.0010608,6.407377418851705e-05,0.0064073774188517,99.46334918101766
