system,replicate,metric,block_start_ns,block_end_ns,n,mean,sd,median,q25,q75,min,max,last
complex,1,ligand_original_pocket_com_displacement_unwrapped_nm,60.0,80.0,2000,6.143486,2.5029788939333346,5.789,4.03975,8.36175,1.709,11.115,7.472
complex,1,ligand_original_pocket_com_displacement_unwrapped_nm,80.0,100.0,2001,12.43788555722139,4.01301640357927,12.726,8.817,15.355,5.548,20.366,14.064
complex,1,ligand_protein_min_distance_pbc_nojump_nm,20.0,40.0,2000,0.1995541149,0.012667858310130831,0.20000345,0.1911327,0.20849785,0.1559422,0.2386502,0.2114899
complex,1,ligand_protein_min_distance_pbc_nojump_nm,40.0,60.0,2000,0.33954667470000005,0.37368438558529565,0.20232525,0.18053045,0.22224105,0.1486405,2.241635,0.8104748
complex,1,ligand_protein_min_distance_pbc_nojump_nm,60.0,80.0,2000,0.81893897015,0.6541599888685805,0.57365725,0.232504475,1.34688375,0.149511,2.675095,1.133963
complex,1,ligand_protein_min_distance_pbc_nojump_nm,80.0,100.0,2001,0.9552832148925536,0.6871898160221216,0.8211561,0.2477852,1.472072,0.1725118,2.809177,0.2602635
complex,1,ligand_protein_contacts_pbc_nojump_0p45nm_count,20.0,40.0,2000,540.1195,51.424512248343106,544.0,510.75,575.0,291.0,681.0,467.0
complex,1,ligand_protein_contacts_pbc_nojump_0p45nm_count,40.0,60.0,2000,330.0905,175.03996059086572,388.0,270.0,447.0,0.0,687.0,0.0
complex,1,ligand_protein_contacts_pbc_nojump_0p45nm_count,60.0,80.0,2000,62.6755,91.23518032433765,0.0,0.0,117.0,0.0,362.0,0.0
complex,1,ligand_protein_contacts_pbc_nojump_0p45nm_count,80.0,100.0,2001,41.72513743128436,74.31687838434553,0.0,0.0,54.0,0.0,290.0,136.0
complex,1,ligand_protein_hbonds_pbc_nojump_count,20.0,40.0,200,1.65,0.9229077927777234,2.0,1.0,2.0,0.0,4.0,2.0
complex,1,ligand_protein_hbonds_pbc_nojump_count,40.0,60.0,200,0.735,0.7987270022483295,1.0,0.0,1.0,0.0,3.0,0.0
complex,1,ligand_protein_hbonds_pbc_nojump_count,60.0,80.0,200,0.02,0.1403513179927839,0.0,0.0,0.0,0.0,1.0,0.0
complex,1,ligand_protein_hbonds_pbc_nojump_count,80.0,100.0,201,0.03482587064676617,0.18379633980948365,0.0,0.0,0.0,0.0,1.0,0.0
complex,2,whole_backbone_rmsd_nm,20.0,40.0,2000,0.27206578124999997,0.024064168073793562,0.27619289999999996,0.25807562500000003,0.29015205,0.1864138,0.3239852,0.2592393
complex,2,whole_backbone_rmsd_nm,40.0,60.0,2000,0.24952928985,0.017641733129985182,0.25009945,0.236708275,0.262183425,0.2005145,0.3054071,0.2379889
