replicate,time_ns,value,display_value
1,0.0,0.0005215,0.2799167153846154
1,0.01,0.0858806,0.28484904074074074
1,0.02,0.2348774,0.2888799535714286
1,0.03,0.2837857,0.2943671034482758
1,0.04,0.2731173,0.29922165666666667
1,0.05,0.2377934,0.30423800645161286
1,0.06,0.1852351,0.30908887812499997
1,0.07,0.2123521,0.3147739090909091
1,0.08,0.2114259,0.32000425294117646
1,0.09,0.203275,0.3235173
1,0.1,0.2394452,0.32699724166666666
1,0.11,0.2188603,0.32974196486486484
1,0.12,0.2692659,0.3335287631578947
1,0.13,0.2558493,0.33656922307692305
1,0.14,0.2021709,0.3389243825
1,0.15,0.3008338,0.34122606341463413
1,0.16,0.3795035,0.3418766714285714
1,0.17,0.3698899,0.3453053023255814
1,0.18,0.3462908,0.34668103181818183
1,0.19,0.3391877,0.34814446
1,0.2,0.4483428,0.3504258108695652
1,0.21,0.4630613,0.35147262978723404
1,0.22,0.3844044,0.35377963749999997
1,0.23,0.3798239,0.35540224081632654
1,0.24,0.3696713,0.35634730400000003
1,0.25,0.3829696,0.3576696215686274
1,0.26,0.4130895,0.3653230725490195
1,0.27,0.3977146,0.3710071588235294
1,0.28,0.4480073,0.37408060392156867
1,0.29,0.4400037,0.3771993980392157
1,0.3,0.4547285,0.3801593843137255
1,0.31,0.4594659,0.38354973333333336
1,0.32,0.4966949,0.3870833980392157
1,0.33,0.4926056,0.3910020294117647
1,0.34,0.4429609,0.3945359
1,0.35,0.4487952,0.3994439470588235
1,0.36,0.428552,0.4041858901960784
1,0.37,0.4736403,0.40641779607843137
1,0.38,0.4521067,0.40915951176470583
1,0.39,0.4307756,0.4112151019607843
1,0.4,0.4332933,0.41454158823529413
1,0.41,0.3685516,0.4155424725490196
1,0.42,0.4893078,0.41653975882352945
1,0.43,0.4058374,0.4168178470588236
1,0.44,0.4125353,0.41838317058823526
1,0.45,0.4530866,0.42138882745098033
1,0.46,0.3996263,0.41936102745098036
1,0.47,0.462209,0.4190999588235294
1,0.48,0.4332872,0.41900139019607835
1,0.49,0.4026554,0.4202542450980392
