system,metric,n_replicates,replicate_mean_median,replicate_mean_min,replicate_mean_max,replicate_mean_range,replicate_mean_sd,replicate_mean_cv_percent
complex,chain_B_D_com_distance_pbc_nojump_nm,3,1.7245770528683915,1.699971003624547,1.8872188476440446,0.18724784401949757,0.10175097555403441,5.746730460336315
complex,chain_B_backbone_rmsd_nm,3,0.3606661350331209,0.26472061997250346,0.409182812735908,0.14446219276340455,0.07351727122880077,21.31821972763682
complex,chain_D_backbone_rmsd_nm,3,0.2250989041244844,0.20123102979627544,0.2439255606674166,0.04269453087114117,0.021396812020483855,9.577010047622503
complex,interchain_hbonds_pbc_nojump_count,3,7.4469413233458175,3.50561797752809,8.299625468164795,4.794007490636705,2.5574599308491734,39.85199542072864
complex,ligand_original_pocket_com_displacement_unwrapped_nm,3,5.155267966504188,0.4371876015498063,6.245688288963879,5.808500687414073,3.0872851894366926,78.2373966744751
complex,ligand_protein_contacts_pbc_nojump_0p45nm_count,3,324.26271716035495,243.62742157230346,480.59005124359453,236.96262967129107,120.47930260483103,34.47255477689849
complex,ligand_protein_hbonds_pbc_nojump_count,3,0.6092384519350812,0.4631710362047441,0.7215980024968789,0.2584269662921348,0.12957935499630108,21.668697985811516
complex,ligand_protein_min_distance_pbc_nojump_nm,3,0.2763320504436946,0.20454488071491064,0.5783778568303962,0.3738329761154856,0.1983835346514521,56.18578369461531
complex,ligand_rmsd_unwrapped_after_proteinfit_nm,3,5.1229304624047,0.5677195297462818,6.184571409086363,5.616851879340081,2.9840144429701887,75.38422254576074
complex,protein_rg_nm,3,1.7458694438195228,1.7140278452693414,1.7564088426446693,0.04238099737532797,0.022064735304530517,1.2689862182531308
complex,protein_sasa_nm2,3,110.13248813982521,106.57011860174782,111.13185268414482,4.561734082396995,2.3978679438467556,2.1942793457837295
complex,whole_backbone_rmsd_nm,3,0.322603144631921,0.28027109387576554,0.37672850323709534,0.0964574093613298,0.04834871385062825,14.806628786434525
apo,chain_B_D_com_distance_pbc_nojump_nm,3,1.8270226221722285,1.77649343832021,1.9109472565929257,0.13445381827271574,0.06791461788097271,3.694717725506708
apo,chain_B_backbone_rmsd_nm,3,0.33624238873890766,0.24957607997750278,0.36656241982252213,0.11698633984501935,0.06071265253851248,19.124486831624594
apo,chain_D_backbone_rmsd_nm,3,0.3417840142107237,0.3258370523809524,0.44903504738157735,0.12319799500062495,0.06700103939491006,18.00044934778772
apo,interchain_hbonds_pbc_nojump_count,3,8.995006242197254,8.848938826466917,9.450686641697878,0.6017478152309614,0.3138685365888142,3.4497831652697273
apo,protein_rg_nm,3,1.7025994650668665,1.7010237657792775,1.7288638382702162,0.027840072490938672,0.015638466273425806,0.914087033995288
apo,protein_sasa_nm2,3,106.19680649188514,102.7900561797753,109.01942072409487,6.229364544319566,3.11924353593835,2.9426244374453
apo,whole_backbone_rmsd_nm,3,0.37792469083864516,0.3103407351706036,0.4401487069491314,0.12980797177852776,0.06492242650773423,17.26026587531108
