system,replicate,metric,n,mean,sd,median,q25,q75,min,max,last
apo,1,chain_B_backbone_rmsd_nm,8001,0.24957607997750278,0.015966642433289758,0.2497938,0.2390883,0.2603339,0.1699082,0.300119,0.2309011
apo,1,chain_D_backbone_rmsd_nm,8001,0.3258370523809524,0.028561722520625436,0.3242052,0.3054008,0.3457645,0.2181623,0.4279536,0.3568907
apo,1,chain_B_D_com_distance_pbc_nojump_nm,8001,1.77649343832021,0.04313029953743628,1.77,1.744,1.809,1.661,1.912,1.765
apo,1,protein_rg_nm,8001,1.7025994650668665,0.011358044801540923,1.70293,1.695,1.71007,1.66573,1.7485,1.71687
apo,1,protein_sasa_nm2,801,106.19680649188514,2.1793616086500656,106.204,104.747,107.644,99.589,113.415,106.716
apo,1,interchain_hbonds_pbc_nojump_count,801,8.995006242197254,2.2890991746123595,9.0,7.0,10.0,4.0,16.0,9.0
apo,2,whole_backbone_rmsd_nm,8001,0.4401487069491314,0.0339066168572758,0.435334,0.4194399,0.4585217,0.3021296,0.5561349,0.4768007
apo,2,chain_B_backbone_rmsd_nm,8001,0.36656241982252213,0.024105810612670277,0.3738256,0.3501192,0.3840135,0.2852048,0.4191555,0.3872044
apo,2,chain_D_backbone_rmsd_nm,8001,0.44903504738157735,0.04235451639537325,0.4466336,0.4259405,0.4716003,0.2313956,0.5861203,0.5010368
apo,2,chain_B_D_com_distance_pbc_nojump_nm,8001,1.9109472565929257,0.03411975553525079,1.913,1.888,1.934,1.795,2.026,1.909
apo,2,protein_rg_nm,8001,1.7010237657792775,0.012296680926357072,1.70077,1.69308,1.70867,1.66003,1.75798,1.70323
apo,2,protein_sasa_nm2,801,102.7900561797753,2.177830298850185,102.675,101.232,104.25,96.891,110.209,100.939
apo,2,interchain_hbonds_pbc_nojump_count,801,9.450686641697878,2.4980747892995185,9.0,8.0,11.0,3.0,17.0,11.0
apo,3,whole_backbone_rmsd_nm,8001,0.37792469083864516,0.07426721530100601,0.3886613,0.3008977,0.4351039,0.2364317,0.5513402,0.4790152
apo,3,chain_B_backbone_rmsd_nm,8001,0.33624238873890766,0.0831914753399491,0.3182891,0.2760669,0.3717689,0.1874533,0.605415,0.4922366
apo,3,chain_D_backbone_rmsd_nm,8001,0.3417840142107237,0.06657020877277034,0.3645748,0.2710143,0.3953986,0.1821077,0.4964805,0.3851354
apo,3,chain_B_D_com_distance_pbc_nojump_nm,8001,1.8270226221722285,0.08198631509693159,1.84,1.764,1.893,1.597,2.022,1.746
apo,3,protein_rg_nm,8001,1.7288638382702162,0.023585627162073523,1.73104,1.71006,1.74767,1.66062,1.78722,1.7378
apo,3,protein_sasa_nm2,801,109.01942072409487,2.4328067194127807,108.958,107.233,110.618,102.678,117.363,112.481
apo,3,interchain_hbonds_pbc_nojump_count,801,8.848938826466917,2.3266718714728816,9.0,7.0,10.0,2.0,16.0,9.0
