system,replicate,metric,mean_60_80ns,mean_80_100ns,late_block_delta,absolute_late_block_delta
complex,1,chain_B_D_com_distance_pbc_nojump_nm,1.71734,1.7226201899050475,0.005280189905047417,0.005280189905047417
complex,1,chain_B_backbone_rmsd_nm,0.38137497275,0.3664898420289855,-0.014885130721014495,0.014885130721014495
complex,1,chain_D_backbone_rmsd_nm,0.2129027032,0.2078055732133933,-0.005097129986606691,0.005097129986606691
complex,1,interchain_hbonds_pbc_nojump_count,8.94,11.233830845771145,2.2938308457711454,2.2938308457711454
complex,1,ligand_original_pocket_com_displacement_unwrapped_nm,6.143486,12.43788555722139,6.29439955722139,6.29439955722139
complex,1,ligand_protein_contacts_pbc_nojump_0p45nm_count,62.6755,41.72513743128436,-20.95036256871564,20.95036256871564
complex,1,ligand_protein_hbonds_pbc_nojump_count,0.02,0.03482587064676617,0.01482587064676617,0.01482587064676617
complex,1,ligand_protein_min_distance_pbc_nojump_nm,0.81893897015,0.9552832148925536,0.1363442447425537,0.1363442447425537
complex,1,ligand_rmsd_unwrapped_after_proteinfit_nm,6.01217461645,12.517765555272364,6.505590938822364,6.505590938822364
complex,1,protein_rg_nm,1.6990177850000001,1.7105865667166416,0.01156878171664144,0.01156878171664144
complex,1,protein_sasa_nm2,104.03716999999999,105.48109452736318,1.443924527363194,1.443924527363194
complex,1,whole_backbone_rmsd_nm,0.3367778378,0.3257177827586207,-0.011060055041379302,0.011060055041379302
complex,2,chain_B_D_com_distance_pbc_nojump_nm,1.869232,1.9137146426786609,0.044482642678660866,0.044482642678660866
complex,2,chain_B_backbone_rmsd_nm,0.23165419485000002,0.35341370364817587,0.12175950879817585,0.12175950879817585
complex,2,chain_D_backbone_rmsd_nm,0.2031174438,0.23209545662168915,0.02897801282168916,0.02897801282168916
complex,2,interchain_hbonds_pbc_nojump_count,3.375,4.009950248756219,0.6349502487562191,0.6349502487562191
complex,2,ligand_original_pocket_com_displacement_unwrapped_nm,0.48193100000000005,0.38493653173413295,-0.0969944682658671,0.0969944682658671
complex,2,ligand_protein_contacts_pbc_nojump_0p45nm_count,469.815,431.11644177911046,-38.69855822088954,38.69855822088954
complex,2,ligand_protein_hbonds_pbc_nojump_count,0.16,1.2338308457711442,1.0738308457711443,1.0738308457711443
complex,2,ligand_protein_min_distance_pbc_nojump_nm,0.2106996808,0.190563004047976,-0.02013667675202402,0.02013667675202402
complex,2,ligand_rmsd_unwrapped_after_proteinfit_nm,0.62282021285,0.5397229864567715,-0.08309722639322847,0.08309722639322847
complex,2,protein_rg_nm,1.74023224,1.7325923738130935,-0.0076398661869065965,0.0076398661869065965
complex,2,protein_sasa_nm2,110.56624500000002,111.12561691542287,0.5593719154228438,0.5593719154228438
complex,2,whole_backbone_rmsd_nm,0.25693765885,0.3425205208395802,0.0855828619895802,0.0855828619895802
complex,3,chain_B_D_com_distance_pbc_nojump_nm,1.7170595,1.6343953023488254,-0.08266419765117461,0.08266419765117461
complex,3,chain_B_backbone_rmsd_nm,0.4524109412,0.4138356042478761,-0.03857533695212395,0.03857533695212395
complex,3,chain_D_backbone_rmsd_nm,0.24263366985,0.2623557456271864,0.019722075777186376,0.019722075777186376
complex,3,interchain_hbonds_pbc_nojump_count,8.32,10.850746268656716,2.5307462686567153,2.5307462686567153
complex,3,ligand_original_pocket_com_displacement_unwrapped_nm,6.306960999999999,7.689724137931034,1.3827631379310343,1.3827631379310343
complex,3,ligand_protein_contacts_pbc_nojump_0p45nm_count,396.6825,416.3153423288356,19.63284232883558,19.63284232883558
complex,3,ligand_protein_hbonds_pbc_nojump_count,0.935,0.945273631840796,0.010273631840795994,0.010273631840795994
complex,3,ligand_protein_min_distance_pbc_nojump_nm,0.1904512377,0.18863076406796603,-0.0018204736320339698,0.0018204736320339698
complex,3,ligand_rmsd_unwrapped_after_proteinfit_nm,6.134589222549999,7.711939770814592,1.5773505482645929,1.5773505482645929
complex,3,protein_rg_nm,1.7575513999999999,1.749368015992004,-0.008183384007995897,0.008183384007995897
complex,3,protein_sasa_nm2,111.498385,108.83660696517413,-2.661778034825872,2.661778034825872
complex,3,whole_backbone_rmsd_nm,0.4005372573,0.393697412093953,-0.006839845206047024,0.006839845206047024
apo,1,chain_B_D_com_distance_pbc_nojump_nm,1.7535574999999999,1.745576711644178,-0.007980788355821833,0.007980788355821833
apo,1,chain_B_backbone_rmsd_nm,0.2514662906,0.2495616792103948,-0.001904611389605182,0.001904611389605182
apo,1,chain_D_backbone_rmsd_nm,0.3374131166,0.33962579105447277,0.002212674454472763,0.002212674454472763
apo,1,interchain_hbonds_pbc_nojump_count,9.425,10.522388059701493,1.0973880597014922,1.0973880597014922
