"module","correlation_with_S100A8","p_value","FDR"
"brown",0.55700439589594,1.50975758847605e-66,9.05854553085628e-66
"turquoise",-0.520160350612309,8.45059029934248e-57,2.53517708980274e-56
"green",0.445643251670634,2.18425009928491e-40,4.36850019856981e-40
"grey",-0.383826058099568,1.50306616297855e-29,2.25459924446783e-29
"blue",0.185436639691384,1.22825108998768e-07,1.47390130798521e-07
"yellow",-0.0537584452451289,0.128223851165123,0.128223851165123
