"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.21154308769418e-48,3.60008282123659,0.92,0.491,4.57700957429188e-44,"0","IFITM2"
3.51326522413984e-46,3.27062735238157,0.973,0.972,7.27105370787981e-42,"0","S100A9"
6.70064535904595e-43,2.98656323736633,0.989,0.963,1.38676556350815e-38,"0","S100A8"
1.99643331921961e-42,6.35299318998536,0.691,0.047,4.1318183974569e-38,"0","LCN2"
2.43256010036556e-36,3.46097580941729,0.878,0.636,5.03442638371655e-32,"0","S100A12"
2.44448688941137e-36,1.60036140211911,0.979,0.986,5.05911006632577e-32,"0","ACTB"
2.78353911596668e-35,4.44501452466621,0.686,0.136,5.76081255440464e-31,"0","CYSTM1"
1.05631449123346e-34,4.44359041525477,0.67,0.117,2.18614847105677e-30,"0","S100P"
1.20624874652849e-34,3.44502250719603,0.761,0.252,2.49645240581536e-30,"0","ALOX5AP"
8.27311704019976e-29,4.8340758315268,0.537,0.047,1.71220430263974e-24,"0","CD177"
3.96112750584779e-24,1.72994916786685,0.862,0.785,8.19794948610258e-20,"0","MYL6"
1.63837403501705e-23,5.71812494593595,0.463,0.047,3.39077890287129e-19,"0","MMP9"
5.76820338647604e-22,6.21950288838808,0.399,0.019,1.19378737286508e-17,"0","MMP8"
4.21517459629282e-19,1.69437140752443,0.793,0.692,8.72372534448763e-15,"0","CFL1"
9.8638128210943e-19,6.80091305446625,0.356,0.023,2.04141470145368e-14,"0","ALPL"
9.20245165157792e-18,3.48306190218283,0.468,0.117,1.90453939381057e-13,"0","GCA"
1.13345785458079e-16,5.96405014719817,0.335,0.028,2.3458043758404e-12,"0","LTF"
1.86811493947999e-16,3.6117245294548,0.468,0.14,3.86625067874779e-12,"0","CST7"
1.4238274830475e-15,1.62627389458787,0.814,0.743,2.9467533589151e-11,"0","S100A11"
2.55980643690334e-15,1.66905718690649,0.819,0.864,5.29777540181516e-11,"0","GAPDH"
5.37063152652586e-15,1.9512871264395,0.691,0.575,1.11150590072979e-10,"0","TSPO"
1.03412479222917e-14,2.85516791174665,0.468,0.15,2.14022466999749e-10,"0","BASP1"
4.02620501037143e-14,2.29071747491314,0.681,0.491,8.3326338894647e-10,"0","STXBP2"
6.00567919905146e-14,2.37473535541362,0.564,0.271,1.24293536703569e-09,"0","SLC25A37"
8.37168078691752e-14,5.02059961846214,0.303,0.037,1.73260305566045e-09,"0","ZDHHC19"
8.4152434195713e-14,1.90471336140834,0.66,0.435,1.74161877811448e-09,"0","SERPINA1"
8.74496709794198e-14,3.29076215334274,0.383,0.084,1.80985839059007e-09,"0","IL1R2"
1.32716911497636e-13,2.92989952294945,0.511,0.243,2.74670920035507e-09,"0","ANP32A"
1.57990326728677e-13,2.11901707205658,0.654,0.449,3.26976780197671e-09,"0","BCL2A1"
8.06608998006453e-13,1.50901992853417,0.83,0.794,1.66935798227416e-08,"0","NAMPT"
1.10459767800508e-11,2.03620045377602,0.543,0.276,2.28607535439932e-07,"0","RETN"
2.37271963035631e-11,2.38240696221271,0.564,0.355,4.91058054698543e-07,"0","CSF3R"
5.2150140338055e-11,1.47854854796703,0.713,0.65,1.07929930443639e-06,"0","ACTG1"
1.92620028737202e-10,4.96911867380511,0.207,0.014,3.98646411474512e-06,"0","DHRS9"
3.74917462029368e-10,7.57945165844765,0.181,0.005,7.75929179415979e-06,"0","PGLYRP1"
5.60787617602855e-10,1.02693606120562,0.872,0.972,1.16060605339087e-05,"0","H3F3A"
8.5756646450457e-10,1.21830781552317,0.718,0.668,1.77481955493866e-05,"0","FCER1G"
1.40001176056719e-09,2.47038479038575,0.335,0.103,2.89746433966986e-05,"0","CDA"
1.7109760362271e-09,4.0475412354836,0.234,0.037,3.54103600457561e-05,"0","ADGRG3"
3.68114548519416e-09,1.84737746889487,0.553,0.369,7.61849869615784e-05,"0","SPI1"
1.35066270039075e-08,2.91023773765643,0.346,0.14,0.000279533152472871,"0","GYG1"
1.72730447432334e-08,2.50486900331892,0.452,0.285,0.000357482934005959,"0","LDHA"
2.22983717591305e-08,6.65660341167744,0.16,0.009,0.000461487101926965,"0","ANXA3"
4.80417254930223e-08,2.08444484781124,0.463,0.28,0.000994271550803589,"0","RAB31"
5.17349884446818e-08,2.39622816434489,0.309,0.107,0.00107070732085113,"0","STX3"
6.97657604100369e-08,3.94759806657261,0.181,0.023,0.00144387217744612,"0","IL1RAP"
1.347089514283e-07,2.10305491746127,0.426,0.243,0.00278793645876009,"0","CAP1"
1.75298001971825e-07,2.49660115622163,0.309,0.121,0.0036279674488089,"0","PGD"
5.07886473617613e-07,1.83500994023688,0.479,0.35,0.0105112184579901,"0","RHOG"
