"cluster","inflammatory_score","antigen_presentation_score","immunosuppression_score","immature_emergency_score","monocyte_core_score","classical_score","nonclassical_score","lymphoid_contamination_score","combined_inflammatory_HLADRlow_score","n_cells","state_label"
"0",0.493816893311952,-0.630581844281968,0.472769135057521,0.700912920095205,-0.0819657212861509,-0.536660459609467,-0.0574857459258712,-0.175170619604754,1.12439873759392,188,"Emergency myeloid / immature neutrophil-like"
"1",0.0250468726188175,0.327295881071232,-0.345469620293401,-0.663742730415693,0.582961769667881,0.999914619135316,0.195040091356449,-0.479951612132637,-0.302249008452414,119,"VCAN+ classical monocyte"
"2",-1.00861214509775,0.837907125026668,-0.502839079746306,-0.555644674299274,-0.568030473565068,-0.190501823900241,-0.130552111972144,0.947855982415554,-1.84651927012442,95,"Lymphoid-like contamination"
