"state_label","denominator","n_control","n_sepsis","effect_sepsis_minus_control","ci_low","ci_high","permutation_p","fdr"
"Emergency myeloid / immature neutrophil-like","proportion_monocytes",2,5,0.640835856811898,0.493168168168168,0.788503545455627,0.0476190476190476,0.0952380952380952
"VCAN+ classical monocyte","proportion_monocytes",2,5,-0.518662692991542,-0.595622886267525,-0.418558586571646,0.0476190476190476,0.0952380952380952
"Lymphoid-like contamination","proportion_monocytes",2,5,-0.122173163820356,-0.225735916856793,0.0297819328190129,0.380952380952381,0.457142857142857
"Emergency myeloid / immature neutrophil-like","proportion_pbmc",2,5,0.0211225424208326,0.00640323791824544,0.0403660234850021,0.19047619047619,0.285714285714286
"VCAN+ classical monocyte","proportion_pbmc",2,5,-0.00627832192512855,-0.00897084849228157,-0.00347348625649708,0.0476190476190476,0.0952380952380952
"Lymphoid-like contamination","proportion_pbmc",2,5,-0.000664625907350139,-0.00273700923781936,0.00138057037247897,0.714285714285714,0.714285714285714
